anvaya_no	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	sentno	chaptno	slokano	book	part1	part2
1.1	(wvam)	-	-	yuRmax{sarvanAma;1;eka}	yuRmax{sarvanAma;1;eka}	karwA,4.1	karwA,4.1	1	01	001	1000 @Sentences	-	-
2.1	akREH	-	akREH	akRa{puM;3;bahu}	akRa{puM;3;bahu}	karaNam,4.1	karaNam,4.1#hewuH,4.1	1	01	001	1000 @Sentences	-	-
3.1	mA	-	mA	mA{avya}	mA{avya}	prawiReXaH,4.1	prawiReXaH,4.1	1	01	001	1000 @Sentences	-	-
4.1	krIda	-	krIda	krId1{karwari;lot;ma;eka;parasmEpaxI;BvAxiH}/krIda{puM;8;eka}	krId1{karwari;lot;ma;eka;parasmEpaxI;BvAxiH}	aBihiwa_karwA,1.1	-	1	01	001	1000 @Sentences	-	-
1.1	awaH	-	awaH	awaH{avya}	awaH{avya}	sambanXaH,5.1	sambanXaH,5.1#kArya_xyowakaH,5.1	1	01	002	1000 @Sentences	-	-
2.1	aham	-	aham	asmax{sarvanAma;1;eka}	asmax{sarvanAma;1;eka}	karwA,5.1	karwA,5.1	1	01	002	1000 @Sentences	-	-
3.1	wam	-	wam	wax{sarvanAma;puM;2;eka}	wax{sarvanAma;puM;2;eka}	karma,5.1	karma,5.1	1	01	002	1000 @Sentences	-	-
4.1	avaSyam	-	avaSyam	avaSyam{avya}	avaSyam{avya}	kriyAviSeRaNam,5.1	kriyAviSeRaNam,5.1	1	01	002	1000 @Sentences	-	-
5.1	wAdayiRyAmi	-	wAdayiRyAmi	wad2{karwari;lqt;u;eka;parasmEpaxI;curAxiH}/wad2{Nijanwa;karwari;lqt;u;eka;parasmEpaxI;curAxiH}	wad2{karwari;lqt;u;eka;parasmEpaxI;curAxiH}	aBihiwa_karwA,2.1;sakarmaka	-	1	01	002	1000 @Sentences	-	-
1.1	awaH	-	awaH	awaH{avya}	awaH{avya}	sambanXaH,5.1	sambanXaH,5.1#kArya_xyowakaH,5.1	1	01	004	1000 @Sentences	-	-
2.1	lokaH	-	lokaH	loka{puM;1;eka}	loka{puM;1;eka}	karwA,5.1	karwA,5.1	1	01	004	1000 @Sentences	-	-
3.1	rAme	-	rAme	rAmA{swrI;8;eka}/rAma{puM;7;eka}	rAma{puM;7;eka}	viRayAXikaraNam,4.1	viRayAXikaraNam,4.1#aXikaraNam,5.1	1	01	004	1000 @Sentences	-	-
4.1	prIwim	-	prIwim	prIwi{swrI;2;eka}	prIwi{swrI;2;eka}	karma,5.1	karma,5.1	1	01	004	1000 @Sentences	-	-
5.1	akarow	-	akarow	kq3{karwari;laf;pra;eka;parasmEpaxI;wanAxiH}	kq3{karwari;laf;pra;eka;parasmEpaxI;wanAxiH}	aBihiwa_karwA,2.1;sakarmaka	-	1	01	004	1000 @Sentences	-	-
6.1	.	-	.	-	-	-	-	1	01	004	1000 @Sentences	-	-
1.1	awaH	-	awaH	awaH{avya}	awaH{avya}	sambanXaH,5.1	sambanXaH,5.1#kArya_xyowakaH,5.1	1	01	005	1000 @Sentences	-	-
2.1	sarvaxA	-	sarvaxA	sarvaxA{avya}	sarvaxA{avya}	kAlAXikaraNam,5.1	kAlAXikaraNam,5.1	1	01	005	1000 @Sentences	-	-
3.1	saH	-	saH	wax{sarvanAma;puM;1;eka}	wax{sarvanAma;puM;1;eka}	karwA,5.1	viSeRaNam,4.1#karwA_be_verbs,5.1#karwA,5.1	1	01	005	1000 @Sentences	-	-
4.1	prasannaH	-	prasannaH	prasanna{puM;1;eka}	prasanna{puM;1;eka}	viXeya_viSeRaNam,3.1	viXeya_viSeRaNam,3.1#karwA_be_verbs,5.1	1	01	005	1000 @Sentences	-	-
5.1	Bavawi	-	Bavawi	BU1{karwari;lat;pra;eka;parasmEpaxI;BvAxiH}/BavawI{swrI;8;eka}/Bavaw{sarvanAma;puM;7;eka}/Bavaw{puM;7;eka}	BU1{karwari;lat;pra;eka;parasmEpaxI;BvAxiH}	aBihiwa_karwA,3.1	-	1	01	005	1000 @Sentences	-	-
6.1	.	-	.	-	-	-	-	1	01	005	1000 @Sentences	-	-
