anvaya_no	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	sentno	chaptno	slokano	book	part1	part2
1.1	rAga-	6.1	rAga-Axi-rogAn	rAga	rAga	bahuvrIhiH,1.2	bahuvrIhiH,1.2	1	01	001	aRtAfgahqxayam	-	-
1.2	Axi-	6.2	--	Axi/Axin	Axi	karmaXArayaH,1.3	karmaXArayaH,1.3	1	01	001	aRtAfgahqxayam	-	-
1.3	rogAn	6.3	--	roga{puM;2;bahu	roga{puM;2;bahu}	karma,6.1	viSeRaNam,5.5#viSeRaNam,4.2#viSeRaNam,3.4#viSeRaNam,2.2#karma,6.1#karma,5.5	1	01	001	aRtAfgahqxayam	-	-
2.1	sawawa-	2.1	sawawa-anuRakwAn	sawawa	sawawa	karmaXArayaH,2.2	karmaXArayaH,2.2	1	01	001	aRtAfgahqxayam	-	-
2.2	anuRakwAn	2.2	--	anuRakwa{puM;2;bahu	anuRakwa{puM;2;bahu}	viSeRaNam,1.3	viSeRaNam,5.5#viSeRaNam,4.2#viSeRaNam,3.4#viSeRaNam,1.3#karma,6.1#karma,5.5	1	01	001	aRtAfgahqxayam	-	-
3.1	a-	3.1	a-SeRa-kAya-prasqwAn	a	a	naF-wawpuruRaH,3.2	naF-wawpuruRaH,3.2	1	01	001	aRtAfgahqxayam	-	-
3.2	SeRa-	3.2	--	SeRa	SeRa	karmaXArayaH,3.3	karmaXArayaH,3.3	1	01	001	aRtAfgahqxayam	-	-
3.3	kAya-	3.3	--	kAya	kAya	sapwamI-wawpuruRaH,3.4	sapwamI-wawpuruRaH,3.4	1	01	001	aRtAfgahqxayam	-	-
3.4	prasqwAn	3.4	--	prasqwa{puM;2;bahu(pra_sq2;kwa;juhowyAxiH)	prasqwa{puM;2;bahu(pra_sq2;kwa;juhowyAxiH)}	viSeRaNam,1.3	viSeRaNam,5.5#viSeRaNam,4.2#viSeRaNam,2.2#viSeRaNam,1.3#karma,6.1#karma,5.5	1	01	001	aRtAfgahqxayam	-	-
4.1	a-	4.1	a-SeRAn	a	a	aswyarWa-maXyamapaxalopI(naF)-bahuvrIhiH,4.2	aswyarWa-maXyamapaxalopI(naF)-bahuvrIhiH,4.2	1	01	001	aRtAfgahqxayam	-	-
4.2	SeRAn	4.2	--	SeRa{puM;2;bahu	SeRa{puM;2;bahu}	viSeRaNam,1.3	viSeRaNam,5.5#viSeRaNam,3.4#viSeRaNam,2.2#viSeRaNam,1.3#karma,6.1#karma,5.5	1	01	001	aRtAfgahqxayam	-	-
5.1	Owsukya-	5.1	Owsukya-moha-arawi-xAn	Owsukya	Owsukya	iwarewara-xvanxvaH,5.4	iwarewara-xvanxvaH,5.4	1	01	001	aRtAfgahqxayam	-	-
5.2	moha-	5.2	--	moha	moha	iwarewara-xvanxvaH,5.4	iwarewara-xvanxvaH,5.4	1	01	001	aRtAfgahqxayam	-	-
5.3	a-	5.3	--	a	a	naF-wawpuruRaH,5.4	naF-wawpuruRaH,5.4	1	01	001	aRtAfgahqxayam	-	-
5.4	rawi-	5.4	--	rawi	rawi	upapaxa-wawpuruRaH,5.5	upapaxa-wawpuruRaH,5.5	1	01	001	aRtAfgahqxayam	-	-
5.5	xAn	5.5	--	xAw{puM;1;eka(xA2;Sawq_lat;axAxiH)}/xa{puM;2;bahu	xa{puM;2;bahu}	viSeRaNam,1.3	viSeRaNam,4.2#viSeRaNam,3.4#viSeRaNam,2.2#viSeRaNam,1.3#karma,6.1#karwA,6.1	1	01	001	aRtAfgahqxayam	-	-
