anvaya_no	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	sentno	chaptno	slokano	book	part1	part2
1.1	Xarma-	2.1	XarmakRewre	Xarman	Xarman	RaRTI-wawpuruRaH,1.2	RaRTI-wawpuruRaH,1.2	1	01	001	SrImaxBagavaxgIwA	-	-
1.2	kRewre	2.2	-	kRewra{napuM;1;xvi}/kRewra{napuM;2;xvi}/kRewra{napuM;7;eka}	kRewra{napuM;7;eka}	viSeRaNam,2.2	viSeRaNam,2.2	1	01	001	SrImaxBagavaxgIwA	-	-
10.1	saFjaya	1	saFjaya	sam_ji1{karwari;lot;ma;eka;parasmEpaxI;ji;BvAxiH}/saFj1_Nic{karwari;lot;ma;eka;parasmEpaxI;RaFjaz;BvAxiH}	saFjaya{puM;8;eka}	samboXyaH,9.1	samboXyaH,9.1	1	01	001	SrImaxBagavaxgIwA	-	-
2.1	kuru-	3.1	kurukRewre	kuru	kuru	RaRTI-wawpuruRaH,2.2	RaRTI-wawpuruRaH,2.2	1	01	001	SrImaxBagavaxgIwA	-	-
2.2	kRewre	3.2	-	kRewra{napuM;1;xvi}/kRewra{napuM;2;xvi}/kRewra{napuM;7;eka}	kRewra{napuM;7;eka}	aXikaraNam,9.1	aXikaraNam,9.1	1	01	001	SrImaxBagavaxgIwA	-	-
3.1	samavewAH	4	samavewA	samavewa{puM;1;bahu}/samavewA{swrI;1;bahu}/samavewA{swrI;2;bahu}	samavewa{puM;1;bahu}	viSeRaNam,6.1	viSeRaNam,6.1	1	01	001	SrImaxBagavaxgIwA	-	-
4.1	yuyuwsavaH	5	yuyuwsavaH	yuyuwsu{puM;1;bahu}	yuyuwsu{puM;1;bahu}	viSeRaNam,6.1	viSeRaNam,6.1	1	01	001	SrImaxBagavaxgIwA	-	-
5.1	mAmakAH	6	mAmakAH	mAmaka{puM;1;bahu}	mAmaka{puM;1;bahu}	samucciwaH,6.1	samucciwaH,6.1	1	01	001	SrImaxBagavaxgIwA	-	-
6.1	pANdavAH	7	pANdavAScEva	pANdava{puM;1;bahu}	pANdava{puM;1;bahu}	karwA,9.1	karwA,9.1	1	01	001	SrImaxBagavaxgIwA	-	-
7.1	ca	8	-	ca{avya}	ca{avya}	samuccaya_xyowakaH,6.1	samuccaya_xyowakaH,6.1	1	01	001	SrImaxBagavaxgIwA	-	-
7.1.1	eva	9	-	eva{avya}	eva{avya}	sambanXaH,6.1	sambanXaH,6.1	1	01	001	SrImaxBagavaxgIwA	-	-
8.1	kim	10	kimakurvawa	kim{napuM;1;eka}/kim{napuM;2;eka}	kim{napuM;2;eka}	karma,9.1	karma,9.1	1	01	001	SrImaxBagavaxgIwA	-	-
9.1	akurvawa	11	-	kq3{karwari;laf;pra;bahu;AwmanepaxI;dukqF;wanAxiH}	kq3{karwari;laf;pra;bahu;AwmanepaxI;dukqF;wanAxiH}	aBihiwa_karwA,6.1;sakarmakaH.1	aBihiwa_karwA,6.1;sakarmakaH.1	1	01	001	SrImaxBagavaxgIwA	-	-
1.1	xqRtvA	5	xqRtvA	xqS1{kqw_prawyayaH:kwvA;xqSizr;BvAxiH}	xqS1{kqw_prawyayaH:kwvA;xqSizr;BvAxiH}	pUrvakAlaH,11.1	pUrvakAlaH,11.1	1	01	002	SrImaxBagavaxgIwA	-	-
10.1	vacanam	10	vacanamabravIw	vacana{napuM;1;eka}/vacana{napuM;2;eka}	vacana{napuM;2;eka}	karma,11.1	karma,11.1	1	01	002	SrImaxBagavaxgIwA	-	-
11.1	abravIw	11	-	brU1{karwari;laf;pra;eka;parasmEpaxI;brUF;axAxiH}	brU1{karwari;laf;pra;eka;parasmEpaxI;brUF;axAxiH}	aBihiwa_karwA,5.1;xvikarmakaH.1	aBihiwa_karwA,5.1;xvikarmakaH.1	1	01	002	SrImaxBagavaxgIwA	-	-
2.1	wu	2	wu	wu{avya}	wu{avya}	sambanXaH,11.1	sambanXaH,11.1	1	01	002	SrImaxBagavaxgIwA	-	-
