anvaya_no	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	sentno	chaptno	slokano	book	part1	part2
1.1	ISA	-	ISA	IS{puM;3;eka}/ISA{swrI;1;eka}	IS{puM;3;eka}	karwA,2.1	karma,2.1#karwA,2.1#hewuH,9.1#hewuH,2.1#karwA,2.1	1	1	01	upaniRax	ISAvAsyopaniRax	-
10.1	(aswi)	10.1	-	as2{karwari;lat;pra;eka;parasmEpaxI;axAxiH}	as2{karwari;lat;pra;eka;parasmEpaxI;axAxiH}	aBihiwa_karwA,2.1	aBihiwa_karwA,2.1	1	1	01	upaniRax	ISAvAsyopaniRax	-
2.1	vAsyam	-	vAsyam	vAsya{puM;2;eka(vas1;Nyaw;BvAxiH)}/vAsya{napuM;1;eka(vas1;Nyaw;BvAxiH)}/vAsya{napuM;2;eka(vas1;Nyaw;BvAxiH)}/vAsya{puM;2;eka(vas2;Nyaw;axAxiH)}/vAsya{napuM;1;eka(vas2;Nyaw;axAxiH)}/vAsya{napuM;2;eka(vas2;Nyaw;axAxiH)}	vAsya{napuM;1;eka(vas1;Nyaw;BvAxiH)}	karwA,10.1	viSeRaNam,8.1#viSeRaNam,4.1#viSeRaNam,3.1#karwA_be_verbs,9.1	1	1	01	upaniRax	ISAvAsyopaniRax	-
3.1	ixaM	-	ixaM	ixam{sarvanAma;napuM;1;eka}/ixam{sarvanAma;napuM;2;eka}	ixam{sarvanAma;napuM;1;eka}	viSeRaNam,4.1	viSeRaNam,8.1#viSeRaNam,4.1#karwA_be_verbs,9.1	1	1	01	upaniRax	ISAvAsyopaniRax	-
4.1	sarvaM	-	sarvaM	sarva{sarvanAma;puM;2;eka}/sarva{sarvanAma;napuM;1;eka}/sarva{sarvanAma;napuM;2;eka}	sarva{sarvanAma;napuM;1;eka}	karma,2.1	viSeRaNam,8.1#karwA_be_verbs,9.1	1	1	01	upaniRax	ISAvAsyopaniRax	-
5.1	yaw	-	yaw	yaw{avya}	yaw{avya}	viSeRaNam,8.1	sambanXaH,9.1#viSeRaNam,8.1;niwyasambanXaH,10.1	1	1	01	upaniRax	ISAvAsyopaniRax	-
6.1	kiFca	-	kiFca	kiFca{avya}	kiFca{avya}	viSeRaNam,8.1	sambanXaH,10.1	1	1	01	upaniRax	ISAvAsyopaniRax	-
7.1	jagawyAM	-	jagawyAm	jagawI{swrI;7;eka}	jagawI{swrI;7;eka}	aXikaraNam,9.1	aXikaraNam,9.1	1	1	01	upaniRax	ISAvAsyopaniRax	-
8.1	jagaw	-	jagaw	jagaw{napuM;1;eka}/jagaw{napuM;2;eka}/jagaw{puM;8;eka}/jagaw{napuM;8;eka}/jagaw{puM;1;eka}	jagaw{napuM;1;eka}	karwA,9.1	karwA_be_verbs,9.1;karwA,10.1	1	1	01	upaniRax	ISAvAsyopaniRax	-
9.1	(aswi)	-	aswi	as2{karwari;lat;pra;eka;parasmEpaxI;axAxiH}	as2{karwari;lat;pra;eka;parasmEpaxI;axAxiH}	aBihiwa_karwA,9.1	aBihiwa_karwA,9.1	1	1	01	upaniRax	ISAvAsyopaniRax	-
