anvaya_no	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	sentno	chaptno	slokano	book	part1	part2
1.1	ApyAyanwu	13.1	ApyAyanwu	Api_i{karwari;lot;pra;bahu;parasmEpaxI;axAxiH}	Api_i{karwari;lot;pra;bahu;parasmEpaxI;axAxiH}	aBihiwa_karwA,3.1	-#aBihiwa_karwA,3.1	1	1	00	upaniRax	kenopaniRaw	-
10.1	balam	9.1	balam	bala{napuM;1;eka}/bala{napuM;2;eka}	bala{napuM;1;eka}	sup_samucciwaH,4.1	sup_samucciwaH,4.1#sup_samucciwaH,11.1#karma,3.1#Bkarma,33.1	1	1	00	upaniRax	kenopaniRaw	-
11.1	inxriyANi	11.1	inxriyANi	inxriya{napuM;1;bahu}/inxriya{napuM;2;bahu}/inxriya{napuM;8;bahu}	inxriya{napuM;1;bahu}	sup_samucciwaH,3.1	sup_samucciwaH,3.1#samboXyaH,#samboXyaH,40.1#samboXyaH,30.1#samboXyaH,27.1#samboXyaH,25.1#samboXyaH,21.1#aBexaH,3.1#aBexaH,13.1#Bkarma,33.1#viXeya_viSeRaNam,3.1#sup_samucciwaH,3.1	1	1	00	upaniRax	kenopaniRaw	-
12.1	ca	12.1	ca	ca{avya}	ca{avya}	samuccaya_xyowakaH,3.1	samuccya_xyowakaH,3.1#sup_samuccaya_xyowakaH,11.1#sambanXaH,11.1#samuccya_xyowakaH,3.1#samuccyaxyowakaH,3.1#samuccaya_xyowakaH,3.1	1	1	00	upaniRax	kenopaniRaw	-
13.1	sarvANi	10.1	sarvANi	sarva{sarvanAma;napuM;1;bahu}/sarva{sarvanAma;napuM;2;bahu}/sarvANI{swrI;8;eka}	sarva{sarvanAma;napuM;1;bahu}	viSeRaNam,11.1	viSeRaNam,11.1#viSeRaNam,3.1#sup_samucciwaH,11.1#Bkarma,33.1	1	1	00	upaniRax	kenopaniRaw	-
2.1	mama	1.1	mama	asmax{sarvanAma;6;eka}	asmax{sarvanAma;6;eka}	RaRTIsambanXaH,3.1	RaRTIsambanXaH,3.1#viSeRaNam,#viSeRaNam,38.1#RaRTIsambanXaH,36.1#RaRTIsambanXaH,33.1#RaRTIsambanXaH,32.1#RaRTIsambanXaH,24.1#RaRTIsambanXaH,20.1#RaRTIsambanXaH,#RaRTIsambanXaH,13.1#RaRTIsambanXaH,11.1#RaRTIsambanXaH,10.1#RaRTIsambanXaH,7.1#RaRTIsambanXaH,6.1#RaRTIsambanXaH,5.1#RaRTIsambanXaH,4.1#BkarwA,33.1	1	1	00	upaniRax	kenopaniRaw	-
3.1	afgAni	2.1	afgAni	afga{napuM;1;bahu}/afga{napuM;2;bahu}/ag2{karwari;lot;u;eka;parasmEpaxI;BvAxiH}/afga{napuM;8;bahu}	afga{napuM;1;bahu}	karwA,1.1	karwA,1.1#sup_samucciwaH,11.1#Bkarma,33.1	1	1	00	upaniRax	kenopaniRaw	-
4.1	vAk	3.1	vAk	vAc{swrI;1;eka}/vAc{swrI;8;eka}	vAc{swrI;1;eka}	sup_samucciwaH,3.1	sup_samucciwaH,11.1#sup_samucciwaH,3.1	1	1	00	upaniRax	kenopaniRaw	-
5.1	prANaH	4.1	prANaH	prANa{puM;1;eka}	prANa{puM;1;eka}	sup_samucciwaH,4.1	sup_samucciwaH,11.1#sup_samucciwaH,4.1	1	1	00	upaniRax	kenopaniRaw	-
6.1	cakRuH	5.1	cakRuH	cakRus{napuM;1;eka}/cakRus{napuM;2;eka}/cakRus{napuM;8;eka}	cakRus{napuM;1;eka}	sup_samucciwaH,4.1	sup_samucciwaH,4.1#sup_samucciwaH,11.1#karma,3.1#Bkarma,33.1	1	1	00	upaniRax	kenopaniRaw	-
