anvaya_no	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	sentno	chaptno	slokano	book	part1	part2
1.1	prApya	1	prApya	Ap1{avya;lyap;ApLz;:svAxiH}/Ap1{avya;lyap;ApLz;:svAxiH}/Ap2{avya;lyap;ApLz;:curAxiH}/Ap2{avya;lyap;ApLz;:curAxiH}	pra_Ap2{avya;lyap;ApLz;:svAxiH}	pUrvakAlaH,8.1	pUrvakAlaH,8.1	1	01	001	mahABArawam	ASramavAsikaparvaH	-
10.1	XqwarARtre	8	XqwarARtre	XqwarARtra{puM;7;eka}	XqwarARtra{puM;7;eka}	aXikaraNam,8.1	aXikaraNam,8.1	1	01	001	mahABArawam	ASramavAsikaparvaH	-
11.1	mahAwmani	9	mahAwmani	mahAwman{puM;7;eka}/mahAwman{napuM;7;eka}	mahAwman{puM;7;eka}	viSeRaNam,10.1	viSeRaNam,10.1	1	01	001	mahABArawam	ASramavAsikaparvaH	-
12.1	.	-	.	-	-	-	-	1	01	001	mahABArawam	ASramavAsikaparvaH	-
2.1	rAjyaM	2	rAjyaM	rAjya{napuM;1;eka}/rAjya{napuM;2;eka}	rAjya{napuM;2;eka}	karma,1.1	karma,1.1	1	01	001	mahABArawam	ASramavAsikaparvaH	-
3.1	mahABAgAH	3	mahABAgAH	mahABAga{puM;1;bahu}/mahABAgA{swrI;1;bahu}/mahABAgA{swrI;2;bahu}	mahABAga{puM;1;bahu}	viSeRaNam,4.1	viSeRaNam,4.1	1	01	001	mahABArawam	ASramavAsikaparvaH	-
4.1	pANdavAH	4	pANdavA	pANdava{puM;1;bahu}/pANdava{puM;8;bahu}	pANdava{puM;1;bahu}	karwA,8.1	karwA,8.1	1	01	001	mahABArawam	ASramavAsikaparvaH	-
5.1	me	5	me	asmax{sarvanAma;6;eka}/asmax{sarvanAma;4;eka}	asmax{sarvanAma;6;eka}	RaRTIsambanXaH,6.1	RaRTIsambanXaH,6.1	1	01	001	mahABArawam	ASramavAsikaparvaH	-
6.1	piwAmahAH	6	piwAmahAH	piwAmaha{puM;1;bahu}/piwAmaha{puM;8;bahu}	piwAmaha{puM;1;bahu}	viSeRaNam,4.1	viSeRaNam,4.1	1	01	001	mahABArawam	ASramavAsikaparvaH	-
7.1	kaWam	7	kaWam	kaWam{avya}	kaWam{avya}	kriyAviSeRaNam,8.1	kriyAviSeRaNam,8.1	1	01	001	mahABArawam	ASramavAsikaparvaH	-
8.1	Asan	-	Asan	as1{karwari;laf;pra;bahu;parasmEpaxI;asaz;:BvAxiH}/as2{karwari;laf;pra;bahu;parasmEpaxI;asaz;:axAxiH}/Asan{napuM;8;eka}	as2{karwari;laf;pra;bahu;parasmEpaxI;asaz;:axAxiH}	aBihiwa_karwA,4.1	aBihiwa_karwA,4.1	1	01	001	mahABArawam	ASramavAsikaparvaH	-
9.1	mahArAje	-	mahArAje	mahArAja{puM;7;eka}	mahArAja{puM;7;eka}	viSeRaNam,10.1	viSeRaNam,10.1	1	01	001	mahABArawam	ASramavAsikaparvaH	-
1.1	saH	1	sa	wax{sarvanAma;puM;1;eka}	wax{sarvanAma;puM;1;eka}	viSeRaNam,3.1	viSeRaNam,3.1	1	01	002	mahABArawam	ASramavAsikaparvaH	-
