anvaya_no	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	sentno	chaptno	slokano	book	part1	part2
1.1	Rat-	-	Rat-wriMSe	RaR	RaR	samAsaH,1.2	samAsaH,1.2	1	01	001	mahABArawam	mOsalaparvaH	-
1.2	wriMSe	-	--	wriMSa{napuM;1;xvi}/wriMSa{napuM;2;xvi}/wriMSa{napuM;8;xvi}/wriMSA{swrI;1;xvi}/wriMSA{swrI;2;xvi}/wriMSA{swrI;1;xvi}/wriMSA{swrI;2;xvi}/wriMSA{swrI;8;eka}/wriMSA{swrI;8;xvi}/wriMSa{puM;7;eka}/wriMSa{napuM;7;eka}/wriMSa{puM;7;eka}/wriMSa{napuM;8;xvi}/wriMSa{napuM;1;xvi}/wriMSa{napuM;2;xvi}/wriMSa{napuM;7;eka}/wriMSA{swrI;8;eka}/wriMSA{swrI;8;xvi}	wriMSa{puM;7;eka}	viSeRaNam,5.1	viSeRaNam,5.1#aXikaraNam,8.1#aXikaraNam,7.1#aXikaraNam,4.1#BkarwA,4.1#karma,7.1#Bkarma,4.1#viSeRaNam,4.1	1	01	001	mahABArawam	mOsalaparvaH	-
10.1	yuXiRTiraH	-	yuXiRTiraH	yuXiRTira{puM;1;eka}	yuXiRTira{puM;1;eka}	karwA,7.1	karwA,7.1	1	01	001	mahABArawam	mOsalaparvaH	-
11.1	.	-	.	-	-	-	-	1	01	001	mahABArawam	mOsalaparvaH	-
2.1	wu	-	wu	wu{avya}	wu{avya}	sambanXaH,5.1	sambanXaH,1.2;sambanXaH,5.1	1	01	001	mahABArawam	mOsalaparvaH	-
3.1	aWa	-	aWa	aWa{avya}	aWa{avya}	sambanXaH,7.1	sambanXaH,7.1	1	01	001	mahABArawam	mOsalaparvaH	-
4.1	samprApwe	-	samprApwe	samprApwA{swrI;1;xvi}/samprApwA{swrI;2;xvi}/samprApwa{puM;7;eka(sam_pra_Ap1;kwa;svAxiH)}	samprApwa{puM;7;eka(sam_pra_Ap1;kwa;svAxiH)}	BAvalakRaNasapwamI_pUrvakAlaH,7.1	viSeRaNam,5.1#viSeRaNam,1.2#BAvalakRaNasapwamI_pUrvakAlaH,8.1#BAvalakRaNasapwamI_pUrvakAlaH,7.1#karma,7.1	1	01	001	mahABArawam	mOsalaparvaH	-
5.1	varRe	-	varRe	varRA{swrI;8;eka}/varRa{puM;7;eka}/varRa{napuM;7;eka}	varRa{puM;7;eka}	karwA,4.1	karwA,4.1#kAlAXikaraNam,8.1#kAlAXikaraNam,7.1#kAlAXikaraNam,4.1#BkarwA,4.1	1	01	001	mahABArawam	mOsalaparvaH	-
6.1	kOrava-	-	kOrava-nanxanaH	kOrava	kOrava	samAsaH,6.2	samAsaH,6.2	1	01	001	mahABArawam	mOsalaparvaH	-
6.2	nanxanaH	-	--	nanxana{puM;1;eka}	nanxana{puM;1;eka}	viSeRaNam,10.1	viSeRaNam,10.1#karwA,7.1	1	01	001	mahABArawam	mOsalaparvaH	-
7.1	xaxarSa	-	xaxarSa	xqS1{karwari;lit;pra;eka;parasmEpaxI;BvAxiH}/xqS1{karwari;lit;u;eka;parasmEpaxI;BvAxiH}	xqS1{karwari;lit;pra;eka;parasmEpaxI;BvAxiH}	aBihiwa_karwA,10.1;sakarmaka	-	1	01	001	mahABArawam	mOsalaparvaH	-
8.1	viparIwAni	-	viparIwAni	viparIwa{napuM;1;bahu(vi_pari_i1;kwa;axAxiH)}/viparIwa{napuM;2;bahu(vi_pari_i1;kwa;axAxiH)}	viparIwa{napuM;2;bahu(vi_pari_i1;kwa;axAxiH)}	viSeRaNam,9.1	viSeRaNam,9.1#karma,7.1	1	01	001	mahABArawam	mOsalaparvaH	-
9.1	nimiwwAni	-	nimiwwAni	nimiwwa{napuM;1;bahu}/nimiwwa{napuM;2;bahu}/nimiwwa{napuM;8;bahu}	nimiwwa{napuM;2;bahu}	karma,7.1	karma,7.1	1	01	001	mahABArawam	mOsalaparvaH	-
