anvaya_no	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	sentno	chaptno	slokano	book	part1	part2
1.1	kqwvA	6.1	kqwvA	kq2{avya;kwvA;svAxiH}/kq3{avya;kwvA;wanAxiH}	kq2{avya;kwvA;svAxiH}	pUrvakAlaH,11.1	pUrvakAlaH,15.1#pUrvakAlaH,14.1#pUrvakAlaH,11.1	1	01	001	mahABArawam	uxyogaparvaH	-
10.1	uRasaH	9.1	uRasaH	uRas{napuM;5;eka}/uRas{napuM;6;eka}	uRas{napuM;5;eka}	hewuH,11.1	RaRTIsambanXaH,13.1#RaRTIsambanXaH,12.1#RaRTIsambanXaH,9.1#RaRTIsambanXaH,7.3#RaRTIsambanXaH,4.2#RaRTIsambanXaH,2.1#hewuH5,15.1#hewuH5,14.1#hewuH5,11.1#hewuH5,8.1#karma,11.1	1	01	001	mahABArawam	uxyogaparvaH	-
11.1	prawIwAH	12.1	prawIwAH	prawIwa{puM;1;bahu(prawi_i1;kwa;axAxiH)}/prawIwA{swrI;1;bahu(prawi_i1;kwa;axAxiH)}/prawIwA{swrI;2;bahu(prawi_i1;kwa;axAxiH)}	prawIwa{puM;1;bahu(prawi_i1;kwa;axAxiH)}	viXeya_viSeRaNam,15.1	viSeRaNam,7.3#viSeRaNam,4.2#karma,15.1#karma,14.1#karwA,15.1#viXeya_viSeRaNam,15.1	1	01	001	mahABArawam	uxyogaparvaH	-
12.1	saBAm	14.1	saBAm	saBA{swrI;2;eka}	saBA{swrI;2;eka}	karma,15.1	karma,15.1#karma,14.1	1	01	001	mahABArawam	uxyogaparvaH	-
13.1	virAtasya	13.1	virAtasya	virAta{puM;6;eka}	virAta{puM;6;eka}	RaRTIsambanXaH,12.1	RaRTIsambanXaH,12.1#RaRTIsambanXaH,10.1#RaRTIsambanXaH,9.1#RaRTIsambanXaH,7.3#RaRTIsambanXaH,4.2#RaRTIsambanXaH,2.1	1	01	001	mahABArawam	uxyogaparvaH	-
14.1	wawaH	11.1	wawaH	wawaH{avya}/wawa{puM;1;eka(wan1;kwa;wanAxiH)}	wawaH{avya}	kAlAXikaraNam,15.1	sambanXaH,15.1#kArya_xyowakaH,15.1#hewuH5,15.1#hewuH5,11.1#hewuH5,8.1#kAlAXikaraNam,15.1	1	01	001	mahABArawam	uxyogaparvaH	-
15.1	aBijagmuH	15.1	aBijagmuH	aBi_gam1{karwari;lit;pra;bahu;parasmEpaxI;BvAxiH}	aBi_gam1{karwari;lit;pra;bahu;parasmEpaxI;BvAxiH}	aBihiwa_karwA,4.2;sakarmaka	aBihiwa_karwA,4.2;sakarmaka	1	01	001	mahABArawam	uxyogaparvaH	-
16.1	.	-	.	-	-	-	-	1	01	001	mahABArawam	uxyogaparvaH	-
2.1	vivAham	5.1	vivAham	vivAha{puM;2;eka}	vivAha{puM;2;eka}	karma,1.1	karma,1.1	1	01	001	mahABArawam	uxyogaparvaH	-
3.1	wu	3.1	wu	wu{avya}	wu{avya}	sambanXaH,4.2	sambanXaH,2.1#sambanXaH,4.2	1	01	001	mahABArawam	uxyogaparvaH	-
4.1	kuru-	2.1	kuru-pravIra	kuru	kuru	RaRTI_wawpuruRaH,4.2	bahuvrIhiH,4.2#RaRTI_wawpuruRaH,4.2	1	01	001	mahABArawam	uxyogaparvaH	-
4.2	pravIrAH	2.2	--	pravIra{puM;1;bahu}/pravIrA{swrI;1;bahu}/pravIrA{swrI;2;bahu}/pravIra{puM;8;bahu}/pravIrA{swrI;8;bahu}	pravIra{puM;1;bahu}	karwA,11.1	viSeRaNam,7.3#viSeRaNam,11.1#karma,1.1#karwA,11.1	1	01	001	mahABArawam	uxyogaparvaH	-
