anvaya_no	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	sentno	chaptno	slokano	book	part1	part2
1.1	vAk-	2.1	vAgarWAviva	vAk	vAk	xvanxvaH,1.2	xvanxvaH,1.2	1	01	001	raGuvaMSam	-	-
1.2	arWO-	2.2	-	arWa{puM;1;xvi}/arWa{puM;2;xvi}	arWa{puM;2;xvi}	kevala_samAsaH,1.3	kevala_samAsaH,1.3	1	01	001	raGuvaMSam	-	-
1.3	iva	2.3	-	iva{avya}	iva{avya}	upamAnam,9.3	upamAnam,9.3	1	01	001	raGuvaMSam	-	-
10.1	(aham)	1.1	(aham)	asmax{sarvanAma;1;eka}	asmax{sarvanAma;1;eka}	karwA,8.1	karwA,8.1	1	01	001	raGuvaMSam	-	-
3.1	sampqkwO	3.1	sampqkwO	sampqkwa{puM;1;xvi}/sampqkwa{puM;2;xvi}/sampqkwa{puM;8;xvi}	sampqkwa{puM;2;xvi}	viSeRaNam,9.3	viSeRaNam,9.3	1	01	001	raGuvaMSam	-	-
4.1	vAk-	7.1	vAgarWaprawipawwaye	vAk	vAk	xvanxvaH,4.2	xvanxvaH,4.2	1	01	001	raGuvaMSam	-	-
4.2	arWa-	7.2	-	arWa	arWa	RaRTI-wawpuruRaH,4.3	RaRTI-wawpuruRaH,4.3	1	01	001	raGuvaMSam	-	-
4.3	prawipawwaye	7.3	-	prawipawwi{swrI;4;eka}/prawipawwi{puM;4;eka}	prawipawwi{puM;4;eka}	prayojanam,8.1	prayojanam,8.1	1	01	001	raGuvaMSam	-	-
6.1	jagawaH	4.1	jagawaH	jagaw{napuM;5;eka}/jagaw{napuM;6;eka}/jagaw{puM;8;bahu}/jagaw{puM;2;bahu}/jagaw{puM;5;eka}/jagaw{puM;6;eka}	jagaw{puM;6;eka}	RaRTIsambanXaH,7.1	RaRTIsambanXaH,7.1	1	01	001	raGuvaMSam	-	-
7.1	piwarO	5.1	piwarO	piwq{puM;1;xvi}/piwq{puM;2;xvi}/piwq{puM;8;xvi}	piwq{puM;2;xvi}	viSeRaNam,9.3	viSeRaNam,9.3	1	01	001	raGuvaMSam	-	-
