anvaya_no	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	sentno	chaptno	slokano	book	part1	part2
1.1	(ahaM)	9.1	ahaM	asmax{sarvanAma;1;eka}	asmax{sarvanAma;1;eka}	karwA,9.1	karwA,9.1	1	001	01	vexa	qgvexa	maNdala-1
2.1	agniM	1.1	agniM	agni{puM;2;eka}	agni{puM;2;eka}	karma,9.1	karma,9.1	1	001	01	vexa	qgvexa	maNdala-1
3.1	yajFasya	4.1	yajFasya	yajFa{puM;6;eka}	yajFa{puM;6;eka}	RaRTIsambanXaH,4.2	RaRTIsambanXaH,4.2	1	001	01	vexa	qgvexa	maNdala-1
4.1	puraH-	3.1	puraH-hiwam	puraH	puraH	samAsaH,4.2	samAsaH,4.2	1	001	01	vexa	qgvexa	maNdala-1
4.2	hiwam	3.2	--	hiwa{puM;2;eka(XA1;kwa;juhowyAxiH)}/hiwa{napuM;1;eka(XA1;kwa;juhowyAxiH)}/hiwa{napuM;2;eka(XA1;kwa;juhowyAxiH)}/hiwa{puM;2;eka(hi1;kwa;svAxiH)}/hiwa{napuM;1;eka(hi1;kwa;svAxiH)}/hiwa{napuM;2;eka(hi1;kwa;svAxiH)}	hiwa{puM;2;eka(XA1;kwa;juhowyAxiH)}	viSeRaNam,2.1	viSeRaNam,2.1	1	001	01	vexa	qgvexa	maNdala-1
5.1	xevaM	5.1	xevaM	xeva{puM;2;eka}	xeva{puM;2;eka}	viSeRaNam,2.1	viSeRaNam,2.1	1	001	01	vexa	qgvexa	maNdala-1
6.1	howAram	7.1	howAram	howq{puM;2;eka}	howq{puM;2;eka}	viSeRaNam,2.1	viSeRaNam,2.1	1	001	01	vexa	qgvexa	maNdala-1
7.1	qwvijam	6.1	qwvijam	qwvij{puM;2;eka}	qwvij{puM;2;eka}	viSeRaNam,2.1	viSeRaNam,2.1	1	001	01	vexa	qgvexa	maNdala-1
8.1	rawna-	8.1	rawna-XAwamam	rawna	rawna	samAsaH,8.2	samAsaH,8.2	1	001	01	vexa	qgvexa	maNdala-1
8.2	XAwamam	8.2	--	XAwama{puM;2;eka(XA1;wamap;juhowyAxiH)}	XAwama{puM;2;eka(XA1;wamap;juhowyAxiH)}	viSeRaNam,2.1	viSeRaNam,2.1	1	001	01	vexa	qgvexa	maNdala-1
9.1	IlYe	2.1	Ide	Id1{karwari;lat;u;eka;AwmanepaxI;axAxiH}/IdA{swrI;8;eka}	Id1{karwari;lat;u;eka;AwmanepaxI;axAxiH}	-	-	1	001	01	vexa	qgvexa	maNdala-1
1.1	agniH	1.1	agniH	agni{puM;1;eka}	agni{puM;1;eka}	karwA,7.1	karwA,7.1	1	001	02	vexa	qgvexa	maNdala-1
10.1	xevAn	8.1	xevAn	xeva{puM;2;bahu}	xeva{puM;2;bahu}	karma,11.1	karma,11.1	1	001	02	vexa	qgvexa	maNdala-1
11.1	A_vakRawi	10.1	A_vakRawi	Af_vah1{karwari;let;pra;eka;parasmEpaxI;BvAxiH}	Af_vah1{karwari;let;pra;eka;parasmEpaxI;BvAxiH}	aBihiwa_karwA,8.1;sakarmaka	-	1	001	02	vexa	qgvexa	maNdala-1
2.1	pUrveBiH	2.1	pUrveBiH	pUrva{puM;3;bahu}/pUrva{sarvanAma;puM;3;bahu}/pUrva{sarvanAma;napuM;3;bahu}	pUrva{puM;3;bahu}	viSeRaNam,5.1	viSeRaNam,5.1	1	001	02	vexa	qgvexa	maNdala-1
3.1	nUwanEH	5.1	nUwanEH	nUwana{puM;3;bahu}/nUwana{napuM;3;bahu}	nUwana{puM;3;bahu}	samucciwaH,2.1	samucciwaH,2.1	1	001	02	vexa	qgvexa	maNdala-1
4.1	uwa	6.1	uwa	uwa{avya}	uwa{avya}	samuccaya_xyowakaH,2.1	samuccaya_xyowakaH,2.1	1	001	02	vexa	qgvexa	maNdala-1
5.1	qRiBiH	3.1	qRiBiH	qRi{puM;3;bahu}	qRi{puM;3;bahu}	karaNam,6.1	karaNam,6.1	1	001	02	vexa	qgvexa	maNdala-1
6.1	IdyaH	4.1	IdyaH	Idya{puM;1;eka(Id1;Nyaw;axAxiH)}	Idya{puM;1;eka(Id;Nyaw;axAxiH)}	viXeyaviSeRaNam,1.1	viXeyaviSeRaNam,1.1	1	001	02	vexa	qgvexa	maNdala-1
7.1	(aswi)	11.1	aswi	as{karwari;lat;pra;eka;parasmEpaxI;axAxiH}	as{karwari;lat;pra;eka;parasmEpaxI;axAxiH}	-	-	1	001	02	vexa	qgvexa	maNdala-1
8.1	saH	7.1	saH	wax{sarvanAma;puM;1;eka}	wax{sarvanAma;puM;1;eka}	karwA,11.1	karwA,11.1	1	001	02	vexa	qgvexa	maNdala-1
9.1	iha	9.1	iha	iha{avya}	iha{avya}	aXikaraNam,11.1	xeSAXikaraNam,11.1	1	001	02	vexa	qgvexa	maNdala-1
1.1	agninA	1.1	agninA	agni{puM;3;eka}	agni{puM;3;eka}	karaNam,8.1	karaNam,8.1	1	001	03	vexa	qgvexa	maNdala-1
2.1	eva	5.1	eva	eva{avya}	eva{avya}	sambanXaH,1.1	sambanXaH,1.1	1	001	03	vexa	qgvexa	maNdala-1
