anvaya_no	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	sentno	chaptno	slokano	book	part1	part2
1.1	wapaH-	3.1	wapaH-svAXyAya-nirawam	wapas	wapas	iwarewara-xvanxvaH,1.2	iwarewara-xvanxvaH,1.2	1	01	001	safkReparAmAyaNam	bAlakANda	sarga-1
1.2	svAXyAya-	3.2	--	svAXyAya	svAXyAya	sapwamI-wawpuruRaH,1.3	sapwamI-wawpuruRaH,1.3	1	01	001	safkReparAmAyaNam	bAlakANda	sarga-1
1.3	nirawam	3.3	--	nirawa{puM;2;eka(ni_ram1;kwa;BvAxiH)}/nirawa{napuM;1;eka(ni_ram1;kwa;BvAxiH)}/nirawa{napuM;2;eka(ni_ram1;kwa;BvAxiH)}	nirawa{puM;2;eka(ni_ram1;kwa;BvAxiH)}	viSeRaNam,5.1	viSeRaNam,4.1#karma,6.1#karwA,6.1#viSeRaNam,8.2#viSeRaNam,5.1	1	01	001	safkReparAmAyaNam	bAlakANda	sarga-1
2.1	wapasvI	1.1	--	wapasvin{puM;1;eka}	wapasvin{puM;1;eka}	viSeRaNam,7.1	viSeRaNam,7.1#karwA,6.1	1	01	001	safkReparAmAyaNam	bAlakANda	sarga-1
3.1	vAk-	4.1	--	vAc	vAc	upapaxa-wawpuruRaH,3.2	upapaxa-wawpuruRaH,3.2	1	01	001	safkReparAmAyaNam	bAlakANda	sarga-1
3.2	vixAm	4.2	--	vix{puM;6;bahu}/vix{napuM;6;bahu}/vix{swrI;6;bahu}/vixA{swrI;2;eka}	vix{puM;6;bahu}	nirXAraNam,4.1	karma,6.1#RaRTIsambanXaH,4.1#RaRTIsambanXaH,2.1#RaRTIsambanXaH,1.3#nirXAraNam,4.1	1	01	001	safkReparAmAyaNam	bAlakANda	sarga-1
4.1	varam	5.1	--	varam{avya}/vara{puM;2;eka}/vara{napuM;1;eka}/vara{napuM;2;eka}	vara{puM;2;eka}	viSeRaNam,5.1	viSeRaNam,1.3#karma,6.1#karwA,6.1#viSeRaNam,8.2#viSeRaNam,5.1	1	01	001	safkReparAmAyaNam	bAlakANda	sarga-1
5.1	nAraxam	7.1	--	nAraxa{puM;2;eka}	nAraxa{puM;2;eka}	karma,6.1	karma,6.1	1	01	001	safkReparAmAyaNam	bAlakANda	sarga-1
6.1	paripapracCa	8.1	--	pari_praC1{karwari;lit;pra;eka;parasmEpaxI;wuxAxiH}/pari_praC1{karwari{lit;ma;bahu;parasmEpaxI;wuxAxiH}/pari_praC1{karwari{lit;u;eka;parasmEpaxI;wuxAxiH}	pari_praC1{karwari;lit;pra;eka;parasmEpaxI;wuxAxiH}	aBihiwa_karwA,7.1;sakarmaka	aBihiwa_karwA,7.1;sakarmaka	1	01	001	safkReparAmAyaNam	bAlakANda	sarga-1
7.1	vAlmIkiH	2.1	--	vAlmIki{puM;1;eka}	vAlmIki{puM;1;eka}	karwA,6.1	karwA,6.1	1	01	001	safkReparAmAyaNam	bAlakANda	sarga-1
8.1	muni-	6.1	--	muni	muni	sapwamI-wawpuruRaH,8.2	sapwamI-wawpuruRaH,8.2	1	01	001	safkReparAmAyaNam	bAlakANda	sarga-1
8.2	pufgavam	6.2	--	pufgava{puM;2;eka}	pufgava{puM;2;eka}	viSeRaNam,5.1	viSeRaNam,5.1#viSeRaNam,4.1#viSeRaNam,1.3#karma,6.1	1	01	001	safkReparAmAyaNam	bAlakANda	sarga-1
9.1	.	9.1	-	-	-	-	-	1	01	001	safkReparAmAyaNam	bAlakANda	sarga-1
1.1	kaH	4.1	kaH	kim{sarvanAma;puM;1;eka}	kim{sarvanAma;puM;1;eka}	karwA,7.1	karwA,7.1	1	01	002	safkReparAmAyaNam	bAlakANda	sarga-1
2.1	nu	5.1	nu	nu{avya}	nu{avya}	sambanXaH,1.1	sambanXaH,1.1	1	01	002	safkReparAmAyaNam	bAlakANda	sarga-1
3.1	asmin	2.1	asmin	ixam{sarvanAma;puM;7;eka}/ixam{sarvanAma;napuM;7;eka}	ixam{sarvanAma;puM;7;eka}	viSeRaNam,5.1	aXikaraNam,7.1#aXikaraNam,5.1#viSeRaNam,5.1	1	01	002	safkReparAmAyaNam	bAlakANda	sarga-1
4.1	sAmprawam	1.1	sAmprawam	sAmprawam{avya}	sAmprawam{avya}	kAlAXikaraNam,7.1	kAlAXikaraNam,7.1#kAlAXikaraNam,5.1	1	01	002	safkReparAmAyaNam	bAlakANda	sarga-1
5.1	loke	3.1	loke	lok1{karwari;lat;u;eka;AwmanepaxI;BvAxiH}/loka{puM;7;eka}	loka{puM;7;eka}	aXikaraNam,7.1	aXikaraNam,7.1	1	01	002	safkReparAmAyaNam	bAlakANda	sarga-1
6.1	guNavAn	6.1	guNavAn	guNa{mawup;puM;1;eka}	guNa{mawup;puM;1;eka}	viXeya_viSeRaNam,1.1	viXeya_viSeRaNam,1.1#karwA_be_verbs,7.1	1	01	002	safkReparAmAyaNam	bAlakANda	sarga-1
7.1	(aswi)	7.1	(aswi)	as2{karwari;lat;pra;eka;parasmEpaxI;axAxiH}	as2{karwari;lat;pra;eka;parasmEpaxI;axAxiH}	aBihiwa_karwA,1.1	aBihiwa_karwA,1.1	1	01	002	safkReparAmAyaNam	bAlakANda	sarga-1
8.1	.	8.1	.	-	-	-	-	1	01	002	safkReparAmAyaNam	bAlakANda	sarga-1
1.1	kaH	1.1	kaH	kim{sarvanAma;puM;1;eka}	kim{sarvanAma;puM;1;eka}	karwA,10.1	viXeya_viSeRaNam,3.1#viSeRaNam,9.2#viSeRaNam,8.2#viSeRaNam,6.2#viSeRaNam,4.2#karwA,10.1	2	01	002	safkReparAmAyaNam	bAlakANda	sarga-1
10.1	(aswi)	10.1	(aswi)	as2{karwari;lat;pra;eka;parasmEpaxI;axAxiH}	as2{karwari;lat;pra;eka;parasmEpaxI;axAxiH}	aBihiwa_karwA,1.1	aBihiwa_karwA,1.1	2	01	002	safkReparAmAyaNam	bAlakANda	sarga-1
11.1	.	11.1	.	-	-	-	-	2	01	002	safkReparAmAyaNam	bAlakANda	sarga-1
2.1	ca	2.1	ca	ca{avya}	ca{avya}	sambanXaH,1.1	sambanXaH,1.1	2	01	002	safkReparAmAyaNam	bAlakANda	sarga-1
3.1	vIryavAn	3.1	vIryavAn	vIryavaw{puM;1;eka}	vIryavaw{puM;1;eka}	samucciwaH,9.2	viXeya_viSeRaNam,1.1#viSeRaNam,9.2#viSeRaNam,8.2#viSeRaNam,6.2#viSeRaNam,4.2#sup_samucciwaH,4.2#karwA_be_verbs,10.1#samucciwaH,9.2	2	01	002	safkReparAmAyaNam	bAlakANda	sarga-1
4.1	Xarma-	4.1	Xarma-jFaH	Xarma	Xarma	upapaxa-wawpuruRaH,4.2	upapaxa-wawpuruRaH,4.2	2	01	002	safkReparAmAyaNam	bAlakANda	sarga-1
4.2	jFaH	4.2	--	jFa{puM;1;eka}	jFa{puM;1;eka}	samucciwaH,9.2	samucciwaH,9.2#viXeya_viSeRaNam,3.1#viXeya_viSeRaNam,1.1#viSeRaNam,9.2#viSeRaNam,8.2#viSeRaNam,6.2#karwA_be_verbs,10.1	2	01	002	safkReparAmAyaNam	bAlakANda	sarga-1
5.1	ca	9.1	ca	ca{avya}	ca{avya}	samuccaya_xyowakaH,4.2	sup_samuccaya_xyowakaH,4.2#sambanXaH,4.2	2	01	002	safkReparAmAyaNam	bAlakANda	sarga-1
6.1	kqwa-	5.1	kqwa-jFaH	kqwa(kq2;kwa;svAxiH)}/kqwa(kq3{kwa;wanAxiH)	kqwa(kq2;kwa;svAxiH)	upapaxa-wawpuruRaH,6.2	upapaxa-wawpuruRaH,6.2	2	01	002	safkReparAmAyaNam	bAlakANda	sarga-1
6.2	jFaH	5.2	--	jFa{puM;1;eka}	jFa{puM;1;eka}	samucciwaH,9.2	samucciwaH,9.2#viXeya_viSeRaNam,4.2#viXeya_viSeRaNam,3.1#viXeya_viSeRaNam,1.1#viSeRaNam,9.2#viSeRaNam,8.2#karwA_be_verbs,10.1	2	01	002	safkReparAmAyaNam	bAlakANda	sarga-1
7.1	ca	6.1	ca	ca{avya}	ca{avya}	samuccaya_xyowakaH,6.2	sup_samuccaya_xyowakaH,6.2#sambanXaH,6.2	2	01	002	safkReparAmAyaNam	bAlakANda	sarga-1
8.1	sawya-	7.1	sawya-vAkyaH	sawya	sawya	bahuvrIhiH,8.2	bahuvrIhiH,8.2	2	01	002	safkReparAmAyaNam	bAlakANda	sarga-1
8.2	vAkyaH	7.2	--	vAkya{puM;1;eka}	vAkya{puM;1;eka}	samucciwaH,9.2	samucciwaH,9.2#viXeya_viSeRaNam,6.2#viXeya_viSeRaNam,4.2#viXeya_viSeRaNam,3.1#viXeya_viSeRaNam,1.1#viSeRaNam,9.2#karwA_be_verbs,10.1	2	01	002	safkReparAmAyaNam	bAlakANda	sarga-1
9.1	xqDa-	8.1	xqDa-vrawaH	xqDa	xqDa	bahuvrIhiH,9.2	bahuvrIhiH,9.2	2	01	002	safkReparAmAyaNam	bAlakANda	sarga-1
9.2	vrawaH	8.2	--	vrawa{puM;1;eka}	vrawa{puM;1;eka}	viXeya_viSeRaNam,1.1	viXeya_viSeRaNam,8.2#viXeya_viSeRaNam,6.2#viXeya_viSeRaNam,4.2#viXeya_viSeRaNam,3.1#viXeya_viSeRaNam,1.1#karwA_be_verbs,10.1	2	01	002	safkReparAmAyaNam	bAlakANda	sarga-1
1.1	cAriwreNa	2.1	cAriwreNa	cAriwra{napuM;3;eka}	cAriwra{napuM;3;eka}	sahArWaH,4.1	sahArWaH,4.1#karwA,4.1#karaNam,4.1#hewuH,5.1#hewuH,4.1	1	01	003	safkReparAmAyaNam	bAlakANda	sarga-1
2.1	ca	3.1	ca	ca{avya}	ca{avya}	sambanXaH,1.1	sambanXaH,1.1	1	01	003	safkReparAmAyaNam	bAlakANda	sarga-1
3.1	kaH	1.1	kaH	kim{sarvanAma;puM;1;eka}	kim{sarvanAma;puM;1;eka}	karwA,5.1	viSeRaNam,4.1#karwA_be_verbs,5.1	1	01	003	safkReparAmAyaNam	bAlakANda	sarga-1
4.1	yukwaH	4.1	yukwaH	yuj{avya;wasil}/yukwa{puM;1;eka(yuj1;kwa;xivAxiH)}/yukwa{puM;1;eka(yuj2;kwa;ruXAxiH)}	yukwa{puM;1;eka(yuj2;kwa;ruXAxiH)}	viXeya_viSeRaNam,3.1	viXeya_viSeRaNam,3.1#karwA_be_verbs,5.1#hewuH5,5.1	1	01	003	safkReparAmAyaNam	bAlakANda	sarga-1
5.1	(aswi)	5.1	(aswi)	as2{karwari;lat;pra;eka;parasmEpaxI;axAxiH}	as2{karwari;lat;pra;eka;parasmEpaxI;axAxiH}	aBihiwa_karwA,4.1	-#aBihiwa_karwA,4.1	1	01	003	safkReparAmAyaNam	bAlakANda	sarga-1
6.1	.	6.1	.	-	-	-	-	1	01	003	safkReparAmAyaNam	bAlakANda	sarga-1
1.1	sarva-	2.1	sarva-BUweRu	sarva	sarva	karmaXArayaH,1.2	karmaXArayaH,1.2	2	01	003	safkReparAmAyaNam	bAlakANda	sarga-1
