anvaya_no	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	sentno	chaptno	slokano	book	part1	part2
1.1	wawaH	-	wawaH	wawaH{avya}	wawaH{avya}	sambanXaH,5.1	sambanXaH,5.1#kArya_xyowakaH,5.1	1	001	001	sunxarakANdam	-	-
2.1	rAvaNa-	-	rAvaNa-nIwAyAH	rAvaNa	rAvaNa	wqwIyA_wawpuruRaH,2.2	wqwIyA_wawpuruRaH,2.2	1	001	001	sunxarakANdam	-	-
2.2	nIwAyAH	-	--	nIwA{swrI;6;eka(NI1;kwa;BvAxiH)}/nIwA{swrI;5;eka(NI1;kwa;BvAxiH)}	nIwA{swrI;6;eka(NI1;kwa;BvAxiH)}	viSeRaNam,3.1	viSeRaNam,3.1#hewuH5,8.2#hewuH5,7.1#hewuH5,5.1#karma,7.1#RaRTIsambanXaH,9.1#RaRTIsambanXaH,6.1#RaRTIsambanXaH,4.2#RaRTIsambanXaH,3.1	1	001	001	sunxarakANdam	-	-
3.1	sIwAyAH	-	sIwAyAH	sIwA{swrI;6;eka}/sIwA{swrI;5;eka}	sIwA{swrI;6;eka}	RaRTIsambanXaH,6.1	hewuH5,8.2#hewuH5,7.1#hewuH5,5.1#karma,7.1#RaRTIsambanXaH,9.1#RaRTIsambanXaH,6.1#RaRTIsambanXaH,4.2#BkarwA,8.2	1	001	001	sunxarakANdam	-	-
4.1	Sawru-	-	Sawru-karRaNaH	Sawru	Sawru	RaRTI_wawpuruRaH,4.2	RaRTI_wawpuruRaH,4.2	1	001	001	sunxarakANdam	-	-
4.2	karRaNaH	-	--	karRaNa{puM;1;eka}	karRaNa{puM;1;eka}	karwA,5.1	karwA,5.1	1	001	001	sunxarakANdam	-	-
5.1	iyeRa	-	iyeRa	iR1{karwari;lit;pra;eka;parasmEpaxI;xivAxiH}/iR1{karwari;lit;u;eka;parasmEpaxI;xivAxiH}/iR2{karwari;lit;pra;eka;parasmEpaxI;wuxAxiH}/iR2{karwari;lit;u;eka;parasmEpaxI;wuxAxiH}/iR4{karwari;lit;pra;eka;parasmEpaxI;kryAxiH}/iR4{karwari;lit;u;eka;parasmEpaxI;kryAxiH}	iR1{karwari;lit;pra;eka;parasmEpaxI;xivAxiH}	aBihiwa_karwA	-	1	001	001	sunxarakANdam	-	-
6.1	paxam	-	paxam	pax{puM;2;eka}/paxa{napuM;1;eka}/paxa{napuM;2;eka}	pax{puM;2;eka}	karma,7.1	karma,7.1	1	001	001	sunxarakANdam	-	-
7.1	anveRtum	-	anveRtum	anu_iR2{avya;wumun;wuxAxiH}	anu_iR2{avya;wumun;wuxAxiH}	karma,5.1	karma,5.1	1	001	001	sunxarakANdam	-	-
8.1	cAraNa-	-	cAraNa-Acariwe	cAraNa	cAraNa	wqwIyA_wawpuruRaH,8.2	wqwIyA_wawpuruRaH,8.2	1	001	001	sunxarakANdam	-	-
