anvaya_no	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	sentno	chaptno	slokano	book	part1	part2
1.1	zZ	1.1	zZ	zZ{avya}	zZ{avya}	sambanXaH,4.1	sambanXaH,4.1	1	1	00	upaniRax	kaTopaniRax	-
10.1	karavAvahE	10.1	karavAvahE	kq3{karwari;lot;u;xvi;AwmanepaxI;wanAxiH}	kq3{karwari;lot;u;xvi;AwmanepaxI;wanAxiH}	aBihiwa_karwA	-#aBihiwa_karwA	1	1	00	upaniRax	kaTopaniRax	-
11.1	wejasvi	12.1	wejasvi	wejasvin{napuM;1;eka}/wejasvin{napuM;2;eka}	wejasvin{napuM;1;eka}	karwA,13.1	karwA,14.1#karma,#karma,#karma,#karwA_be_verbs,#karwA,#karwA,#karma,#karma,#karwA,13.1	1	1	00	upaniRax	kaTopaniRax	-
12.1	nO	11.1	nO	asmax{sarvanAma;2;xvi}/asmax{sarvanAma;6;xvi}/asmax{sarvanAma;4;xvi}	asmax{sarvanAma;6;xvi}	RaRTIsambanXaH,14.1	RaRTIsambanXaH,14.1#prayojanam1,#prayojanam1,#prayojanam1,#prayojanam1,#prayojanam1,#prayojanam1,#RaRTIsambanXaH,#RaRTIsambanXaH,#RaRTIsambanXaH,#RaRTIsambanXaH,#RaRTIsambanXaH,#karma,#karma,	1	1	00	upaniRax	kaTopaniRax	-
13.1	aXIwam	13.1	aXIwam	aXIwa{puM;2;eka(aXi_i2;kwa;X;axAxiH)}/aXIwa{napuM;1;eka(aXi_i2;kwa;X;axAxiH)}/aXIwa{napuM;2;eka(aXi_i2;kwa;X;axAxiH)}/aXIwa{puM;2;eka(aXi_i4;kwa;X;axAxiH)}/aXIwa{napuM;1;eka(aXi_i4;kwa;X;axAxiH)}/aXIwa{napuM;2;eka(aXi_i4;kwa;X;axAxiH)}	aXIwa{puM;1;eka(aXi_i2;kwa;X;axAxiH)}	karwA,14.1	karma,14.1#viSeRaNam,#viSeRaNam,#karma,#karma,#viXeya_viSeRaNam,#viXeya_viSeRaNam,#karwA_be_verbs,#karwA,#karma,#karwA,14.1	1	1	00	upaniRax	kaTopaniRax	-
14.1	aswu	14.1	aswu	aswu{avya}/as2{karwari;lot;pra;eka;parasmEpaxI;axAxiH}	as2{karwari;lot;pra;eka;parasmEpaxI;axAxiH}	aBihiwa_karwA,13.1	-#aBihiwa_karwA,13.1	1	1	00	upaniRax	kaTopaniRax	-
15.1	mA	15.1	mA	mA{avya}	mA{avya}	prawiReXaH,16.1	prawiReXaH,16.1#prawiReXaH,#prawiReXaH,#prawiReXaH,#prawiReXaH,	1	1	00	upaniRax	kaTopaniRax	-
16.1	vixviRAvahE	16.1	vixviRAvahE	vi_xviR{karwari;lot;u;xvi;AwmanepaxI;axAxiH}	vi_xviR{karwari;lot;u;xvi;AwmanepaxI;axAxiH}	aBihiwa_karwA	-#aBihiwa_karwA	1	1	00	upaniRax	kaTopaniRax	-
17.1	zZ	17.1	zZ	zZ{avya}	zZ{avya}	sambanXaH,18.1	-#sambanXaH,18.1	1	1	00	upaniRax	kaTopaniRax	-
18.1	SAnwiH	18.1	SAnwiH	SAnwi{swrI;1;eka}	SAnwi{swrI;1;eka}	karwA,21.1	karwA,17.1#vIpsA,#karwA_be_verbs,#karwA,21.1	1	1	00	upaniRax	kaTopaniRax	-
19.1	SAnwiH	19.1	SAnwiH	SAnwi{swrI;1;eka}	SAnwi{swrI;1;eka}	vIpsA,18.1	vIpsA,18.1#karwA_be_verbs,	1	1	00	upaniRax	kaTopaniRax	-
2.1	saha	3.1	saha	saha{avya}	saha{avya}	kriyAviSeRaNam,4.1	kriyAviSeRaNam,4.1#kriyAviSeRaNam,#kriyAviSeRaNam,#kriyAviSeRaNam,#kriyAviSeRaNam,#kriyAviSeRaNam,#kriyAviSeRaNam,	1	1	00	upaniRax	kaTopaniRax	-
20.1	SAnwiH	20.1	SAnwiH	SAnwi{swrI;1;eka}	SAnwi{swrI;1;eka}	vIpsA,18.1	vIpsA,18.1#vIpsA,#karwA_be_verbs,	1	1	00	upaniRax	kaTopaniRax	-
21.1	(aswu)	21.1	-	aswu{avya}/as2{karwari;lot;pra;eka;parasmEpaxI;axAxiH}	as2{karwari;lot;pra;eka;parasmEpaxI;axAxiH}	aBihiwa_karwA,18.1	-#aBihiwa_karwA,18.1	1	1	00	upaniRax	kaTopaniRax	-
3.1	nO	2.1	nO	asmax{sarvanAma;2;xvi}/asmax{sarvanAma;6;xvi}/asmax{sarvanAma;4;xvi}	asmax{sarvanAma;2;xvi}	karma,4.1	RaRTIsambanXaH,4.1#prayojanam1,#prayojanam1,#prayojanam1,#prayojanam1,#prayojanam1,#prayojanam1,#karwA,#karma,#RaRTIsambanXaH,#RaRTIsambanXaH,#RaRTIsambanXaH,#RaRTIsambanXaH,#RaRTIsambanXaH,#karma,#karma,#karma,#karma,4.1	1	1	00	upaniRax	kaTopaniRax	-
4.1	avawu	4.1	avawu	av1{karwari;lot;pra;eka;parasmEpaxI;BvAxiH}	av1{karwari;lot;pra;eka;parasmEpaxI;BvAxiH}	aBihiwa_karwA	-#aBihiwa_karwA	1	1	00	upaniRax	kaTopaniRax	-
5.1	saha	6.1	saha	saha{avya}	saha{avya}	kriyAviSeRaNam,7.1	kriyAviSeRaNam,7.1#kriyAviSeRaNam,#kriyAviSeRaNam,#kriyAviSeRaNam,#kriyAviSeRaNam,#kriyAviSeRaNam,#kriyAviSeRaNam,	1	1	00	upaniRax	kaTopaniRax	-
6.1	nO	5.1	nO	asmax{sarvanAma;2;xvi}/asmax{sarvanAma;6;xvi}/asmax{sarvanAma;4;xvi}	asmax{sarvanAma;2;xvi}	karma,7.1	RaRTIsambanXaH,7.1#prayojanam1,#prayojanam1,#prayojanam1,#prayojanam1,#prayojanam1,#prayojanam1,#karwA,#karma,#RaRTIsambanXaH,#RaRTIsambanXaH,#RaRTIsambanXaH,#RaRTIsambanXaH,#RaRTIsambanXaH,#karma,#karma,#karma,#karma,7.1	1	1	00	upaniRax	kaTopaniRax	-
7.1	Bunakwu	7.1	Bunakwu	Buj2{karwari;lot;pra;eka;parasmEpaxI;ruXAxiH}	Buj2{karwari;lot;pra;eka;parasmEpaxI;ruXAxiH}	aBihiwa_karwA	-#aBihiwa_karwA	1	1	00	upaniRax	kaTopaniRax	-
8.1	saha	9.1	saha	saha{avya}	saha{avya}	kriyAviSeRaNam,10.1	kriyAviSeRaNam,10.1#kriyAviSeRaNam,#kriyAviSeRaNam,#kriyAviSeRaNam,#kriyAviSeRaNam,#kriyAviSeRaNam,#kriyAviSeRaNam,	1	1	00	upaniRax	kaTopaniRax	-
9.1	vIryam	8.1	vIryam	vIrya{napuM;1;eka}/vIrya{napuM;2;eka}/vIrya{puM;2;eka(vIra1;yaw;X;curAxiH)}/vIrya{napuM;1;eka(vIra1;yaw;X;curAxiH)}/vIrya{napuM;2;eka(vIra1;yaw;X;curAxiH)}	vIrya{napuM;1;eka}	kriyAviSeRaNam,10.1	karwA,10.1#viSeRaNam,#viSeRaNam,#karma,#karma,#karma,#karwA_be_verbs,#karwA,#karwA,#karma,#kriyAviSeRaNam,10.1	1	1	00	upaniRax	kaTopaniRax	-
1.1	uSan	2.1	uSan	uSaw{puM;1;eka(vaS1;Sawq_lat;X;axAxiH)}/uSaw{puM;8;eka(vaS1;Sawq_lat;X;axAxiH)}	uSaw{puM;1;eka(vaS1;Sawq_lat;X;axAxiH)}	varwamAnasamAnakAlaH,6.1	varwamAnasamAnakAlaH,12.1#varwamAnasamAnakAlaH,6.1	1	1	01	upaniRax	kaTopaniRax	-
10.1	nAma	10.1	nAma	nAma{napuM;1;eka}	nAma{napuM;1;eka}	saFjFA_xyowakaH,9.1	aBexaH,9.1#saFjFA_xyowakaH,9.1	1	1	01	upaniRax	kaTopaniRax	-
11.1	puwraH	11.1	puwraH	puwra{puM;1;eka}	puwra{puM;1;eka}	karwA,12.1	karwA,12.1#karwA,6.1#aBexaH,9.1#aBexaH,1.1	1	1	01	upaniRax	kaTopaniRax	-
12.1	Asa	12.1	Asa	as1{karwari;lit;pra;eka;parasmEpaxI;BvAxiH}/as1{karwari;lit;ma;bahu;parasmEpaxI;BvAxiH}/as1{karwari;lit;u;eka;parasmEpaxI;BvAxiH}/as3{karwari;lit;pra;eka;parasmEpaxI;xivAxiH}/as3{karwari;lit;ma;bahu;parasmEpaxI;xivAxiH}/as3{karwari;lit;u;eka;parasmEpaxI;xivAxiH}/Asan{napuM;1;eka}/Asan{napuM;2;eka}/Asa{puM;8;eka}/Asan{napuM;8;eka}	as1{karwari;lit;pra;eka;parasmEpaxI;BvAxiH}	aBihiwa_karwA,11.1	-#aBihiwa_karwA,11.1	1	1	01	upaniRax	kaTopaniRax	-
2.1	ha	3.1	ha	ha{avya}	ha{avya}	sambanXaH,1.1	sambanXaH,1.1	1	1	01	upaniRax	kaTopaniRax	-
3.1	vE	4.1	vE	vE{avya}	vE{avya}	sambanXaH,2.1	sambanXaH,2.1	1	1	01	upaniRax	kaTopaniRax	-
4.1	vAjaSravasaH	1.1	vAjaSravasaH	vAjaSravasa{puM;1;eka}	vAjaSravasa{puM;1;eka}	karwA,6.1	karwA,6.1	1	1	01	upaniRax	kaTopaniRax	-
5.1	sarva-	5.1	sarva-	sarva	sarva	karmaXAraya_wawpuruRaH,5.2	karmaXAraya_wawpuruRaH,5.2	1	1	01	upaniRax	kaTopaniRax	-
5.2	vexasam	5.2	--	vexas{puM;2;eka}	vexas{puM;2;eka}	karma,6.1	karma,6.1	1	1	01	upaniRax	kaTopaniRax	-
6.1	xaxO	6.1	xaxO	xA1{karwari;lit;pra;eka;parasmEpaxI;BvAxiH}/xA1{karwari;lit;u;eka;parasmEpaxI;BvAxiH}/xA2{karwari;lit;pra;eka;parasmEpaxI;axAxiH}/xA2{karwari;lit;u;eka;parasmEpaxI;axAxiH}/xA3{karwari;lit;pra;eka;parasmEpaxI;juhowyAxiH}/xA3{karwari;lit;u;eka;parasmEpaxI;juhowyAxiH}	xA1{karwari;lit;pra;eka;parasmEpaxI;BvAxiH}	aBihiwa_karwA,9.1	-#aBihiwa_karwA,9.1	1	1	01	upaniRax	kaTopaniRax	-
7.1	wasya	7.1	wasya	wax{sarvanAma;napuM;6;eka}/wax{sarvanAma;puM;6;eka}	wax{sarvanAma;napuM;6;eka}	RaRTIsambanXaH,11.1	RaRTIsambanXaH,12.1#RaRTIsambanXaH,11.1#RaRTIsambanXaH,10.1#RaRTIsambanXaH,9.1	1	1	01	upaniRax	kaTopaniRax	-
8.1	ha	8.1	ha	ha{avya}	ha{avya}	sambanXaH,7.1	sambanXaH,7.1	1	1	01	upaniRax	kaTopaniRax	-
9.1	nacikewAH	9.1	nacikewAH	nacikewas{puM;1;eka}	nacikewas{puM;1;eka}	saFjFA,11.1	karwA,12.1#karwA,6.1#saFjFA,11.1	1	1	01	upaniRax	kaTopaniRax	-
1.1	wam	3.1	wam	wax{sarvanAma;puM;2;eka}	wax{sarvanAma;puM;2;eka}	viSeRaNam,3.1	viSeRaNam,4.1#viSeRaNam,3.1#karma,8.1	1	1	02	upaniRax	kaTopaniRax	-
10.1	amanyawa	10.1	amanyawa	man2{karmaNi;laf;pra;eka;AwmanepaxI;wanAxiH}/man1{karwari;laf;pra;eka;AwmanepaxI;xivAxiH}	man1{karwari;laf;pra;eka;AwmanepaxI;xivAxiH}	aBihiwa_karwA,9.1	-#aBihiwa_karwA,9.1	1	1	02	upaniRax	kaTopaniRax	-
2.1	ha	6.1	ha	ha{avya}	ha{avya}	sambanXaH,1.1	sambanXaH,1.1	1	1	02	upaniRax	kaTopaniRax	-
