"padacchedah","anvaya","spart"
"प्रीतिम् भक्त-जनस्य यः जनयते .; तम् वृन्दारक-वृन्द-वन्दित-पदम् मतङ्ग-आननम् नत्वा (अहम्) संक्षिप्त-अक्षर-कोमल-अमल-पदैः प्रस्फुटाम् चतुर-प्रीति-प्रदाम् सद्-गणितस्य पाटीम् लालित्य-लीलावतीम् वच्मि .","प्रीतिम् भक्त-जनस्य यः जनयते .; तम् वृन्दारक-वृन्द-वन्दित-पदम् नत्वा मतङ्ग-आननम् पाटीम् सद्-गणितस्य वच्मि चतुर-प्रीति-प्रदाम् प्रस्फुटाम् संक्षिप्त-अक्षर-कोमल-अमल-पदैः लालित्य-लीलावतीम् (अहम्) .","प्रीतिं भक्तजनस्य यो जनयते विघ्नं विनिघ्नन्स्मृत-#स्तं वृन्दारकवृन्दवन्दितपदं नत्वा मतङ्गाननम् ।# पाटीं सद्गणितस्य वच्मि चतुरप्रीतिप्रदां प्रस्फुटां# संक्षिप्ताक्षरकोमलामलपदैर्लालित्यलीलावतीम्॥१॥"
"वराटकानाम् दशक-द्वयम् यत् सा काकिणी (अस्ति) .; ताः च पणः चतस्रः (सन्ति) .; ते षोडशः द्रम्मः इह अवगम्यः .; द्रम्मैः तथा षोडशभिः च निष्कः अवगम्यः .","वराटकानाम् दशक-द्वयम् यत् सा काकिणी (अस्ति) .; चतस्रः च ताः पणः (सन्ति) .; ते षोडशः द्रम्मः इह अवगम्यः .; तथा षोडशभिः च द्रम्मैः निष्कः अवगम्यः ."," वराटकानां दशकद्वयं यत् सा काकिणी ताश्च पणश्चतस्रः।# ते षोडश द्रम्म इहावगम्यो द्रम्मैस्तथा षोडशभिश्च निष्कः॥२॥"
"तुल्या यवाभ्याम् कथिता अत्र गुञ्जा .; वल्लः त्रि-गुंजः कथितः .; धरणम् च ते अष्टौ कथितम् .; गद्याणकः तद् द्वयम् कथितः .; इंद्र-तुल्यैः वल्लैः तथा एकः घटकः प्रदिष्टः .","अत्र यवाभ्याम् तुल्या गुञ्जा कथिता .; वल्लः त्रि-गुंजः कथितः .; ते च अष्टौ धरणम् कथितम् .; तद् द्वयम् गद्याणकः कथितः .; तथा इंद्र-तुल्यैः वल्लैः एकः घटकः प्रदिष्टः .","तुल्या यवाभ्यां कथिताऽत्र गुञ्जा वल्लस्त्रिगुण्जो धरणं च तेऽष्टौ।# ग‍द्याणकस्तद्द्वयमिन्द्रतुल्यैर्वल्लैस्तथैको घतकः प्रदिष्टः॥३॥"
"दश-अर्ध-गुंजम् वदन्ति माषम् तुला-ज्ञाः .; माष-आह्वयैः षोडशभिः च कर्षम् प्रवदन्ति तुला-ज्ञाः .; कर्षैः चतुर्भिः च पलम् प्रवदन्ति तुला-ज्ञाः .; कर्षम् सुवर्णस्य सुवर्ण-संज्ञम् प्रवदन्ति तुला-ज्ञाः .","दश-अर्ध-गुंजम् वदन्ति माषम् तुला-ज्ञाः .; माष-आह्वयैः षोडशभिः च कर्षम् प्रवदन्ति तुला-ज्ञाः .; कर्षैः चतुर्भिः च पलम् प्रवदन्ति तुला-ज्ञाः .; कर्षम् सुवर्णस्य सुवर्ण-संज्ञम् प्रवदन्ति तुला-ज्ञाः .",".दशार्धगुञ्जं प्रवदन्ति माषं माषाह्वयैः षोडशभिश्च कर्षम्।# कर्षैश्चतुर्भिश्च पलं तुलाज्ञाः कर्षं सुवर्णस्य सुवर्णसंज्ञम्॥४॥"
"यवोदरैः अङ्गुलम् अष्ट-सङ्ख्यैः भवति .; हस्तः अङ्गुलैः षड्-गुणितैः चतुर्भिः भवति .; हस्तैः चतुर्भिः भवति इह दण्डः .; क्रोशः सहस्र-द्वितयेन तेषाम् भवति .","यवोदरैः अङ्गुलम् अष्ट-सङ्ख्यैः भवति .; हस्तः अङ्गुलैः षड्-गुणितैः चतुर्भिः भवति .; हस्तैः चतुर्भिः भवति इह दण्डः .; क्रोशः सहस्र-द्वितयेन तेषाम् भवति .","यवोदरैरङ्गुलमष्टसङ्ख्यैर्हस्तोऽङ्गुलैः षद्गुणितैश्चतुर्भिः।#हस्तैश्चतुर्भिर्भवतीह दण्डः क्रोशः सहस्रद्वितयेन तेषाम्॥५॥"
"स्यात् योजनम् क्रोश-चतुष्टयेन .; तथा कराणाम् दशकेन वंशः स्यात् .; विंशति-वंश-सङ्ख्यैः चतुर्भिः भुजैः निबद्धम् क्षेत्रम् निवर्तनम् स्यात् .","स्यात् योजनम् क्रोश-चतुष्टयेन .; तथा कराणाम् दशकेन वंशः स्यात् .; विंशति-वंश-सङ्ख्यैः चतुर्भिः भुजैः निबद्धम् क्षेत्रम् निवर्तनम् स्यात् .","स्याद्योजनं क्रोशचतुष्टयेन तथा कराणां दशकेन वंशः।#निवर्तनं विंशतिवंशसङ्ख्यैः क्षेत्रं चतुर्भिश्च भुजैर्निबद्धम्॥६॥"
"यत् हस्त-उन्मितैः विस्तृति-दैर्घ्य-पिण्डैः द्वादश-अस्रम् भवति तत् घन-हस्त-संज्ञम् भवति .; धान्य-आदिके यत् घन-हस्त-मानम् शास्त्र-उदिता मागध-खारिका सा भवति .","यत् हस्त-उन्मितैः विस्तृति-दैर्घ्य-पिण्डैः द्वादश-अस्रम् भवति तत् घन-हस्त-संज्ञम् भवति .; धान्य-आदिके यत् घन-हस्त-मानम् शास्त्र-उदिता मागध-खारिका सा भवति ."," हस्तोन्मितैर्विस्तृतिदैर्घ्यपिण्डैर्यद्द्वादशास्रं घनहस्तसंज्ञम्।#धान्यादिके यद्घनहस्तमानं शास्त्रोदिता मागधखारिका सा॥७॥"
"खलु खार्य्याः षोडश-अंशः तु द्रोणः स्यात् .; द्रोण-चतुर्थ-भागः आढकः स्यात् .; इह आढकस्य चतुर्थ-अंशः प्रस्थः प्रदिष्टः .; आद्यैः प्रस्थ-अङ्घ्रिः कुडवः प्रदिष्टः .","खलु खार्य्याः षोडश-अंशः तु द्रोणः स्यात् .; द्रोण-चतुर्थ-भागः आढकः स्यात् .; इह आढकस्य चतुर्थ-अंशः प्रस्थः प्रदिष्टः .; आद्यैः प्रस्थ-अङ्घ्रिः कुडवः प्रदिष्टः ."," द्रोणस्तु खार्याः खलु षोडशांशः स्यादाढको द्रोणचतउर्थभागः।# प्रस्थश्चतुर्थांश इहाऽढकस्य प्रस्थाङ्घ्रिराद्यैः कुडवः प्रदिष्टः॥८॥"
"पाद-ऊन-गद्याणक-तुल्य-टङ्कैः द्वि-सप्त-तुल्यैः अत्र धान्य-आदि-तौल्येषु सेरः कथितः .; ख-युगैः सेरैः मण-अभिधानम् कथितम् .; धान्य-आदि-तौल्येषु एषा तुरुष्क-संज्ञा भवति .; शेषाः काल-आदि-परिभाषाः लोकतः प्रसिद्धाः ज्ञेयाः .","पाद-ऊन-गद्याणक-तुल्य-टङ्कैः द्वि-सप्त-तुल्यैः अत्र धान्य-आदि-तौल्येषु सेरः कथितः .; ख-युगैः सेरैः मण-अभिधानम् कथितम् .; धान्य-आदि-तौल्येषु एषा तुरुष्क-संज्ञा भवति .; शेषाः काल-आदि-परिभाषाः लोकतः प्रसिद्धाः ज्ञेयाः .","पादोनगद्याणकतुल्यटङ्कैर्द्विसप्ततुल्यैः कथितोऽत्र सेरः।#मणाभिधानं खयुगैश्च सेरैर्धान्यादितौल्येषु तुरुष्कसंज्ञा॥८?॥"
"किल स-एक-पद-घ्न-पद-अर्धं सङ्कलित-आख्या एक-अद्य-अङ्क-युतिः भवति .; अथ सा द्वि-युतेन पदेन विनिघ्नी त्रि-हृता खलु सङ्कलित-एक्यं स्यात् .","किल स-एक-पद-घ्न-पद-अर्धं सङ्कलित-आख्या एक-अद्य-अङ्क-युतिः भवति .; अथ . सा द्वि-युतेन पदेन विनिघ्नी त्रि-हृता खलु सङ्कलित-एक्यं स्यात्","सैकपदघ्नपदार्धमथैकाद्यङ्कयुतिः किल सङ्कलिताख्या।# सा द्वियुतेन पदेन विनिघ्नी स्यात्त्रिहृता खलु सङ्कलितैक्यम्॥११७॥"
