"padacchedah","anvaya","spart"
"तपः-स्वाध्याय-निरतम् तपस्वी वाक्-विदाम् वरम् नारदम् परिपप्रच्छ वाल्मीकिः मुनि-पुङ्गवम् .","तपस्वी वाल्मीकिः तपः-स्वाध्याय-निरतम् वाक्-विदाम् वरम् मुनि-पुङ्गवम् नारदम् परिपप्रच्छ ."," तपःस्वाध्यायनिरतं तपस्वी वाग्विदां वरम्# नारदं परिपप्रच्छ  वाल्मीकिर्मुनिपुङ्गवम्"
"कः नु अस्मिन् साम्प्रतम् लोके गुणवान् (अस्ति) .; कः च वीर्यवान् धर्म-ज्ञः च कृत-ज्ञः च सत्य-वाक्यः दृढ-व्रतः (अस्ति) .","साम्प्रतम् अस्मिन् लोके कः नु गुणवान् (अस्ति) .; कः च वीर्यवान् धर्म-ज्ञः कृत-ज्ञः च सत्य-वाक्यः दृढ-व्रतः च (अस्ति) ."," कोन्वस्मिन् साम्प्रतं लोके गुणवान् कश्च वीर्यवान्# धर्मज्ञश्च कृतज्ञश्च सत्यवाक्यो दृढव्रतः"
"चारित्रेण च कः युक्तः (अस्ति) .; सर्व-भूतेषु कः हितः (अस्ति) .; विद्वान् कः (अस्ति) .; कः समर्थः च (अस्ति) .; कः च एक-प्रिय-दर्शनः (अस्ति) .","कः चारित्रेण च युक्तः (अस्ति) .; कः सर्व-भूतेषु हितः (अस्ति) .; कः विद्वान् (अस्ति) .; कः समर्थः च (अस्ति) .; कः च एक-प्रिय-दर्शनः (अस्ति) ."," चारित्रेण च को युक्तः सर्वभूतेषु को हितः# विद्वान् कः कः समर्थश्च कश्चैकप्रियदर्शनः"
"आत्मवान् कः (अस्ति) .; जित-क्रोधः द्युतिमान् (च) (कः) (अस्ति) .; कः अन्-असूयकः (च) (अस्ति) .; कस्य(कस्मात्) बिभ्यति देवाः च जात-रोषस्य संयुगे .","कः आत्मवान् (अस्ति) .; (कः) जित-क्रोधः द्युतिमान् (च) (अस्ति) .; कः अन्-असूयकः (च) (अस्ति) .; कस्य(कस्मात्) जात-रोषस्य संयुगे देवाः च बिभ्यति ."," आत्मवान् को जितक्रोधो द्युतिमान् कोऽनसूयकः# कस्य बिभ्यति देवाश्च जातरोषस्य संयुगे"
"एतत् इच्छामि अहम् श्रोतुम् .; परम् कौतूहलम् हि मे (अस्ति) .; महर्षे त्वम् समर्थः असि ज्ञातुम् एवम्-विधम् नरम् .","अहम् एतत् श्रोतुम् इच्छामि .; हि परम् कौतूहलम् मे (अस्ति) .; महर्षे त्वम् एवम्-विधम् नरम् ज्ञातुम् समर्थः असि ."," एतदिच्छाम्यहं श्रोतुं परं कौतूहलं हि मे # महर्षे त्वं समर्थोऽसि ज्ञातुमेवंविधं नरम्"
"श्रुत्वा च एतत् त्रि-लोक-ज्ञः वाल्मीकेः नारदः वचः श्रूयताम् इति च आमन्त्र्य प्रहृष्टः वाक्यम् अब्रवीत् .","त्रि-लोक-ज्ञः नारदः वाल्मीकेः एतत् वचः श्रुत्वा च श्रूयताम् इति आमन्त्र्य च प्रहृष्टः वाक्यम् अब्रवीत् ."," श्रुत्वा  चैतत्त्रिलोकज्ञो वाल्मीकेर्नारदो वचः# श्रूयतामिति चामन्त्र्य प्रहृष्टो वाक्यमब्रवीत्"
"बहवः दुर्लभाः च एव .; त्वया कीर्तिताः गुणाः .; मुने वक्ष्यामि अहम् बुद्ध्वा तैः युक्तः नरः (कः) (अस्ति) (इति) .; (भवान्) श्रूयतां .","बहवः दुर्लभाः च एव .; त्वया कीर्तिताः गुणाः .; मुने (इति) . वक्ष्यामि अहम् बुद्ध्वा तैः युक्तः नरः (कः) (अस्ति); . (भवान्) श्रूयतां"," बहवो दुर्लभाश्चैव ये त्वया कीर्तिता गुणाः# मुने वक्ष्याम्यहं बुद्ध्वा तैर्युक्तः श्रूयतां नरः"
"इक्ष्वाकु-वंश-प्रभवः रामः नाम जनैः श्रुतः .; (सः) नियत-आत्मा महा-वीर्यः (च) (अस्ति) .; (सः) द्युतिमान् धृतिमान् वशी (च) (अस्ति) .","जनैः इक्ष्वाकु-वंश-प्रभवः रामः नाम श्रुतः .; (सः) नियत-आत्मा महा-वीर्यः (च) (अस्ति) .; (सः) द्युतिमान् धृतिमान् वशी (च) (अस्ति) ."," इक्ष्वाकुवंशप्रभवो रामो नाम जनैः श्रुतः# नियतात्मा महावीर्यो द्युतिमान् धृतिमान् वशी"
"(सः) बुद्धिमान् नीतिमान् (च) (अस्ति) .; (सः) वाग्ग्मी श्रीमान् (च) (अस्ति) .; (सः) शत्रु-निबर्हणः विपुल-अंशः (च) (अस्ति) .; (सः) महा-बाहुः कम्बु-ग्रीवः महा-हनुः (च) (अस्ति) .","(सः) बुद्धिमान् नीतिमान् (च) (अस्ति) .; (सः) वाग्ग्मी श्रीमान् (च) (अस्ति) .; (सः) शत्रु-निबर्हणः विपुल-अंशः (च) (अस्ति) .; (सः) महा-बाहुः कम्बु-ग्रीवः महा-हनुः (च) (अस्ति) ."," बुद्धिमान् नीतिमान् वाग्ग्मी श्रीमाञ्छत्रुनिबर्हणः# विपुलांसो महाबाहुः कम्बुग्रीवो महाहनुः "
"(सः) महा-उरस्कः महा-ईष्वासः (च) (अस्ति) .; (सः) गूढ-जत्रुः अरिन्-दमः (च) (अस्ति) .; (सः) आजानु-बाहुः सु-शिराः (च) (अस्ति) .; (सः) सु-ललाटः सु-विक्रमः (च) (अस्ति) .","(सः) महा-उरस्कः महा-ईष्वासः (च) (अस्ति) .; (सः) गूढ-जत्रुः अरिन्-दमः (च) (अस्ति) .; (सः) आजानु-बाहुः सु-शिराः (च) (अस्ति) .; (सः) सु-ललाटः सु-विक्रमः (च) (अस्ति) ."," महोरस्को महेष्वासो गूढजत्रुररिन्दमः# आजानुबाहुः सुशिराः सुललाटः सुविक्रमः"
"(सः) समः सम-विभक्त-अङ्गः (च) (अस्ति) .; (सः) स्निग्ध-वर्णः प्रतापवान् (च) (अस्ति) .; (सः) पीन-वक्षः विशाल-अक्षः लक्ष्मीवान् शुभ-लक्षणः (च) (अस्ति) .","(सः) समः सम-विभक्त-अङ्गः (च) (अस्ति) .; (सः) स्निग्ध-वर्णः प्रतापवान् (च) (अस्ति) .; (सः) पीन-वक्षः विशाल-अक्षः लक्ष्मीवान् शुभ-लक्षणः (च) (अस्ति) ."," समः समविभक्ताङ्गः स्निग्धवर्णः प्रतापवान् # पीनवक्षा विशालाक्षो लक्ष्मीवाञ्छुभलक्षणः"
"(सः) धर्मज्ञः सत्य-सन्धः (च) (अस्ति) .; (सः) प्रजानाम् च हिते रतः (अस्ति) .; (सः) यशस्वी ज्ञान-सम्पन्नः (च) (अस्ति) .; (सः) शुचिः वश्यः समाधिमान् (च) (अस्ति) .","(सः) धर्मज्ञः सत्य-सन्धः (च) (अस्ति) .; (सः) प्रजानाम् हिते रतः च (अस्ति) .; (सः) यशस्वी ज्ञान-सम्पन्नः (च) (अस्ति) .; (सः) शुचिः वश्यः समाधिमान् (च) (अस्ति) ."," धर्मज्ञः सत्यसन्धश्च प्रजानां च हिते रतः# यशस्वी ज्ञानसम्पन्नः शुचिर्वश्यः समाधिमान्"
"(सः) प्रजा-पति-समः श्रीमान् (च) (अस्ति) .; (सः) धाता रिपु-निषूदनः (च) (अस्ति) .; (सः) रक्षिता जीव-लोकस्य धर्मस्य परिरक्षिता (च) (अस्ति) .","(सः) प्रजा-पति-समः श्रीमान् (च) (अस्ति) .; (सः) धाता रिपु-निषूदनः (च) (अस्ति) .; (सः) जीव-लोकस्य रक्षिता धर्मस्य परिरक्षिता (च) (अस्ति) ."," प्रजापतिसमः श्रीमान् धाता रिपुनिषूदनः# रक्षिता जीवलोकस्य धर्मस्य परिरक्षिता"
"(सः) रक्षिता स्वस्य धर्मस्य स्व-जनस्य च रक्षिता (अस्ति) .; (सः) वेद-वेद-अङ्ग-तत्त्व-ज्ञः धनुर्वेदे च निष्ठितः (अस्ति) .","(सः) स्वस्य धर्मस्य रक्षिता स्व-जनस्य रक्षिता च (अस्ति) .; वेद-वेद-अङ्ग-तत्त्व-ज्ञः (सः) धनुर्वेदे निष्ठितः च (अस्ति) ."," रक्षिता स्वस्य धर्मस्य स्वजनस्य च रक्षिता# वेदवेदाङ्गतत्वज्ञो धनुर्वेदे च निष्ठितः"
