"padacchedah","anvaya","spart"
"ईशा वास्यम् इदं सर्वं यत् किञ्च जगत्यां जगत् (अस्ति) (अस्ति); तेन त्यक्तेन भुञ्जीथाः [त्वम्]; मा गृधः कस्य स्वित् धनम्","ईशा वास्यम् इदं सर्वं यत् किञ्च जगत्यां जगत् (अस्ति) (अस्ति); तेन त्यक्तेन भुञ्जीथाः [त्वम्]; मा गृधः कस्य स्वित् धनम्","ॐ ईशा वास्यमिदं सर्वं यत्किञ्च जगत्यां जगत्।#तेन त्यक्तेन भुञ्जीथा मा गृधः कस्यस्विद्धनम्॥१॥"
"कुर्वन् एव इह कर्माणि जिजीविषेत् शतं समाः एवं त्वयि न अन्यथा इतः अस्ति न कर्म लिप्यते नरे","कुर्वन् न अन्यथा इतः अस्ति न कर्म लिप्यते नरे एव इह कर्माणि जिजीविषेत् शतं समाः एवं त्वयि","कुर्वन्नेवेह कर्माणि जिजीविषेच्छतं समाः।#एवं त्वयि नान्यथेतोऽस्ति न कर्म लिप्यते नरे॥२॥"
"असुर्याः नाम ते लोकाः अन्धेन तमसा आवृताः; तान् ते प्रेत्य अभिगच्छन्ति ये के च आत्म-हनः जनाः [सन्ति]","असुर्याः नाम ते लोकाः अन्धेन तमसा आवृताः; प्रेत्य अभिगच्छन्ति ये के च आत्म-हनः जनाः [सन्ति] तान् ते","असुर्या नाम ते लोका अन्धेन तमसाऽऽवृताः।#तांस्ते प्रेत्याभिगच्छन्ति ये के चात्महनो जनाः॥३॥"
"अन्-एजत् एकं मनसः जवीयः [अस्ति]; न एनत् देवाः आप्नुवन् पूर्वम् अर्षत्(आर्ष); तत् धावतः अन्यान् अत्येति तिष्ठत् .; तस्मिन् अपः मातरिश्वा दधाति (दधाति) (कर्माणि) (कर्माणि)","अन्-एजत् एकं मनसः जवीयः [अस्ति]; न एनत् देवाः आप्नुवन् पूर्वम् अर्षत्(आर्ष); तत् धावतः अन्यान् अत्येति तिष्ठत् .; तस्मिन् अपः मातरिश्वा दधाति (दधाति) (कर्माणि) (कर्माणि)","अनेजदेकं मनसो जवीयो नैनद्देवा आप्नुवन्पूर्वमर्षत्।#तद्धावतोऽन्यानत्येति तिष्ठत्तस्मिन्नपो मातरिश्वा दधाति॥४॥"
"तत् एजति .; तत् न एजति .; तत् दूरे अस्ति .; तत् उ अन्तिके अस्ति .; तत् अन्तः अस्य सर्वस्य अस्ति .; तत् उ सर्वस्य अस्य बाह्यतः अस्ति .","तत् एजति .; तत् न एजति .; तत् दूरे अस्ति .; तत् उ अन्तिके अस्ति .; तत् अन्तः अस्य सर्वस्य अस्ति .; तत् उ सर्वस्य अस्य बाह्यतः अस्ति .","तदेजति तन्नैजति तद्दूरे तद्वन्तिके।#तदन्तरस्य सर्वस्य तदु सर्वस्यास्य बाह्यतः॥५॥"
"यः तु सर्वाणि भूतानि आत्मन्(आत्मनि) एव अनुपश्यति सर्व-भूतेषु च आत्मानम् ततः न विजुगुप्सते (अनुपश्यति) (यः) (सः)","यः आत्मानम् ततः न विजुगुप्सते (अनुपश्यति) (यः) (सः) तु सर्वाणि भूतानि आत्मन्(आत्मनि) एव अनुपश्यति सर्व-भूतेषु च","यस्तु सर्वाणि भूतान्यात्मन्येवानुपश्यति।#सर्वभूतेषु चात्मानं ततो न विजुगुप्सते॥६॥"
"अन्धम् तमः प्रविशन्ति ये अविद्याम् उपासते (ते); ततः भूयः इव ते तमः ये उ विद्यायां रताः (प्रविशन्ति)","ये अविद्याम् उपासते (ते) अन्धम् तमः प्रविशन्ति; ततः ये उ विद्यायां रताः भूयः इव ते तमः (प्रविशन्ति)","अन्धं तमः प्रविशन्ति येऽविद्यामुपासते।#ततो भूय इव ते तमो य उ विद्यायां रताः॥९॥"
"अन्यत् एव आहुः विद्यया (फलम्); अन्यत् आहुः अविद्यया (फलम्); इति शुश्रुम धीराणां ये नः तत् विचचक्षिरे (वचः) (तेषाम्)","अन्यत् एव विद्यया (फलम्) आहुः; अन्यत् आहुः अविद्यया (फलम्); इति ये नः विचचक्षिरे (तेषाम्) धीराणां तत् (वचः) शुश्रुम","अन्यदेवाहुर्विद्ययाऽन्यदाहुरविद्यया।#इति शुश्रुम धीराणां ये नस्तद्विचचक्षिरे॥१०॥"
"विद्याम् च अविद्याम् च यः तत् वेद उभयं सह अविद्यया मृत्युं तीर्त्वा विद्यया अमृतम् अश्नुते (सः)","यः विद्याम् च अविद्याम् च तत् उभयं सह वेद (सः) अविद्यया मृत्युं तीर्त्वा विद्यया अमृतम् अश्नुते","विद्यां चाविद्यां च यस्तद्वेदोभयं सह।#अविद्यया मृत्युं तीर्त्वा विद्ययाऽमृतमश्नुते॥११॥"
"ततः भूयः इव ते तमः प्रविशन्ति ये उ सम्भूत्याम् रताः","ये सम्भूत्याम् रताः ते उ ततः भूयः इव तमः प्रविशन्ति","अन्धं तमः प्रविशन्ति येऽसम्भूतिमुपासते।#ततो भूय इव ते तमो य उ सम्भूत्यां रताः॥१२॥"
