"padacchedah","anvaya","spart"
"(अहं) अग्निं यज्ञस्य पुरः-हितम् देवं होतारम् ऋत्विजम् रत्न-धातमम् ईळे","अग्निं ईळे पुरः-हितम् यज्ञस्य देवं ऋत्विजम् होतारम् रत्न-धातमम् (अहं)"," अ॒ग्निमी॑ळे पु॒रोहि॑तं य॒ज्ञस्य॑ दे॒वमृ॒त्विज॑म् ।# होता॑रं रत्न॒धात॑मम् ॥"
"अग्निः पूर्वेभिः नूतनैः उत ऋषिभिः ईड्यः (अस्ति) सः इह देवान् आ_वक्षति","अग्निः पूर्वेभिः ऋषिभिः ईड्यः नूतनैः उत सः देवान् इह आ_वक्षति (अस्ति)"," अ॒ग्निः पूर्वे॑भि॒र्ऋषि॑भि॒रीड्यो॒ नूत॑नैरु॒त ।# स दे॒वाँ एह व॑क्षति ॥"
"अग्निना एव पोषम् यशसं वीरवत्तमम् रयिं दिवे-दिवे अश्नवत्","अग्निना रयिं अश्नवत् पोषम् एव दिवे-दिवे यशसं वीरवत्तमम्"," अ॒ग्निना॑ र॒यिम॑श्नव॒त्पोष॑मे॒व दि॒वेदि॑वे ।# य॒शसं॑ वी॒रव॑त्तमम् ॥"
"अग्ने यं अध्वरं यज्ञं विश्वतः परि-भूः (त्वं) असि सः इत् देवेषु गच्छति","अग्ने यं यज्ञं अध्वरं विश्वतः परि-भूः असि सः इत् देवेषु गच्छति (त्वं)"," अग्ने॒ यं य॒ज्ञम॑ध्व॒रं वि॒श्वतः॑ परि॒भूरसि॑ ।# स इद्दे॒वेषु॑ गच्छति ॥"
"होता कवि-क्रतुः सत्यः चित्र-श्रवस्तमः देवः अग्निः देवेभिः आगमत्","अग्निः होता कवि-क्रतुः सत्यः चित्र-श्रवस्तमः देवः देवेभिः आगमत्"," अ॒ग्निर्होता॑ क॒विक्र॑तुः स॒त्यश्चि॒त्रश्र॑वस्तमः ।# दे॒वो दे॒वेभि॒रा ग॑मत् ॥"
"अङ्ग अग्ने त्वं दाशुषे यत् भद्रं करिष्यसि अङ्गिरः तव इत् तत् (भद्रं) (अस्ति) (इति) सत्यम् (अस्ति)","यत् अङ्ग दाशुषे त्वं अग्ने भद्रं करिष्यसि तव इत् तत् सत्यम् अङ्गिरः (भद्रं) (अस्ति) (इति) (अस्ति)"," यद॒ङ्ग दा॒शुषे॒ त्वमग्ने॑ भ॒द्रं क॑रि॒ष्यसि॑ ।# तवेत्तत्स॒त्यम॑ङ्गिरः ॥"
"अग्ने धिया नमः भरन्तः वयं दिवे-दिवे दोषा-वस्तः (च) उप त्वा आ_इमसि","उप त्वा अग्ने दिवे-दिवे दोषा-वस्तः धिया वयं नमः भरन्तः आ_इमसि (च)"," उप॑ त्वाग्ने दि॒वेदि॑वे॒ दोषा॑वस्तर्धि॒या व॒यम् ।# नमो॒ भर॑न्त॒ एम॑सि ॥"
"स्वे दमे वर्धमानम् राजन्तं अध्वराणां गो-पां ऋतस्य दीदिविं (उप) (त्वा) (वयं) (आ_इमसि)","राजन्तं अध्वराणां गो-पां ऋतस्य दीदिविं वर्धमानम् स्वे दमे (उप) (त्वा) (वयं) (आ_इमसि)"," राज॑न्तमध्व॒राणां॑ गो॒पामृ॒तस्य॒ दीदि॑विम् ।# वर्ध॑मानं॒ स्वे दमे॑ ॥"
"अग्ने सः (त्वं) सूनवे पिता-इव नः सूपायनः भव नः स्वस्तये सचस्व","सः नः पिता-इव सूनवे अग्ने सूपायनः भव सचस्व नः स्वस्तये (त्वं)"," स नः॑ पि॒तेव॑ सू॒नवेऽग्ने॑ सूपाय॒नो भ॑व ।# सच॑स्वा नः स्व॒स्तये॑ ॥"
"दर्शत वायो (त्वं) आयाहि इमे सोमाः अरङ्-कृताः (सन्ति) तेषां(तान्) (सोमान्) पाहि हवं श्रुधि","वायो आयाहि दर्शत इमे सोमाः अरङ्-कृताः तेषां(तान्) पाहि श्रुधि हवं (त्वं) (सन्ति) (सोमान्)"," वाय॒वा या॑हि दर्शते॒मे सोमा॒ अरं॑कृताः ।# तेषां॑ पाहि श्रु॒धी हव॑म् ॥"
"वायो जरितारः सुत-सोमाः अहर्-विदः (ते) त्वाम् अच्छा उक्थेभिः जरन्ते","वायो उक्थेभिः जरन्ते त्वाम् अच्छा जरितारः सुत-सोमाः अहर्-विदः (ते)"," वाय॑ उ॒क्थेभि॑र्जरन्ते॒ त्वामच्छा॑ जरि॒तारः॑ ।# सु॒तसो॑मा अह॒र्विदः॑ ॥"
"वायो तव प्र-पृञ्चती उरूची धेना सोम-पीतये दाशुषे जिगाति","वायो तव प्र-पृञ्चती धेना जिगाति दाशुषे उरूची सोम-पीतये"," वायो॒ तव॑ प्रपृञ्च॒ती धेना॑ जिगाति दा॒शुषे॑ ।# उ॒रू॒ची सोम॑पीतये ॥"
"इन्द्र-वायू इमे सुताः इन्दवः हि वां(इन्द्रवायू) उशन्ति प्रयोभिः (युवां) उप_आङ्_गतम्(आगच्छतम्)","इन्द्र-वायू इमे सुताः प्रयोभिः उप_आङ्_गतम्(आगच्छतम्) इन्दवः वां(इन्द्रवायू) उशन्ति हि (युवां)"," इन्द्र॑वायू इ॒मे सु॒ता उप॒ प्रयो॑भि॒रा ग॑तम् ।# इन्द॑वो वामु॒शन्ति॒ हि ॥"
"वायो (त्वं) इन्द्रः च वाजिनी-वसू (युवां) सुतानां(सुतान्) (सोमान्) चेतथः तौ(इन्द्रवायू) (युवां) द्रवत् उप_आयातम्","वायो इन्द्रः च चेतथः सुतानां(सुतान्) वाजिनी-वसू तौ(इन्द्रवायू) उप_आयातम् द्रवत् (त्वं) (युवां) (सोमान्) (युवां)"," वाय॒विन्द्र॑श्च चेतथः सु॒तानां॑ वाजिनीवसू ।# तावा या॑त॒मुप॑ द्र॒वत् ॥"
"वायो (त्वं) इन्द्रः च (युवां) सुन्वतः निष्कृतं उप_आयातम् नरौ धिया मक्षु (सम्पत्स्येते) इत्था","वायो इन्द्रः च सुन्वतः उप_आयातम् निष्कृतं मक्षु इत्था धिया नरौ (त्वं) (युवां) (सम्पत्स्येते)"," वाय॒विन्द्र॑श्च सुन्व॒त आ या॑त॒मुप॑ निष्कृ॒तम् ।# म॒क्ष्वित्था धि॒या न॑रा ॥"
"घृताचीं धियं साधन्तौ पूत-दक्षं मित्रं रिश-अदसं वरुणं च (अहं) हुवे","मित्रं हुवे पूत-दक्षं वरुणं च रिश-अदसं धियं घृताचीं साधन्तौ (अहं)"," मि॒त्रं हु॑वे पू॒तद॑क्षं॒ वरु॑णं च रि॒शाद॑सम् ।# धियं॑ घृ॒ताचीं॒ साध॑न्ता ॥"
"मित्रा-वरुणौ ऋता-वृधौ ऋत-स्पृशा(स्पृशौ) बृहन्तम् क्रतुं ऋतेन (युवां) आशाथे","ऋतेन मित्रा-वरुणौ ऋता-वृधौ ऋत-स्पृशा(स्पृशौ) क्रतुं बृहन्तम् आशाथे (युवां)"," ऋ॒तेन॑ मित्रावरुणावृतावृधावृतस्पृशा ।# क्रतुं॑ बृ॒हन्त॑माशाथे ॥"
"कवी तुवि-जाता उरु-क्षया मित्रा-वरुणा नः दक्षं अपसं (च) दधाते","कवी नः मित्रा-वरुणा तुवि-जाता उरु-क्षया दक्षं दधाते अपसं (च)"," क॒वी नो॑ मि॒त्रावरु॑णा तुविजा॒ता उ॑रु॒क्षया॑ ।# दक्षं॑ दधाते अ॒पस॑म् ॥"
"द्रवत्-पाणी शुभः पती पुरु-भुजा अश्विना यज्वरीः इषः (युवां) चनस्यतम्","अश्विना यज्वरीः इषः द्रवत्-पाणी शुभः पती पुरु-भुजा चनस्यतम् (युवां)"," अश्वि॑ना॒ यज्व॑री॒रिषो॒ द्रव॑त्पाणी॒ शुभ॑स्पती ।# पुरु॑भुजा चन॒स्यत॑म् ॥"
"पुरु-दंससा(कर्माणौ) नरा धिष्ण्या अश्विना शवीरया धिया गिरः (युवां) वनतम्","अश्विना पुरु-दंससा(कर्माणौ) नरा शवीरया धिया धिष्ण्या वनतम् गिरः (युवां)"," अश्वि॑ना॒ पुरु॑दंससा॒ नरा॒ शवी॑रया धि॒या ।# धिष्ण्या॒ वन॑तं॒ गिरः॑ ॥"
"दस्रा नासत्या रुद्र-वर्तनी (अश्विनौ) युवाकवः वृक्त-बर्हिषः सुताः(अभिषुतसोमाः) (तान्) (स्वीकर्तुं) (युवां) आयातम्","दस्रा युवाकवः सुताः(अभिषुतसोमाः) नासत्या वृक्त-बर्हिषः आयातम् रुद्र-वर्तनी (अश्विनौ) (तान्) (स्वीकर्तुं) (युवां)"," दस्रा॑ यु॒वाक॑वः सु॒ता नास॑त्या वृ॒क्तब॑र्हिषः ।# आ या॑तं रुद्रवर्तनी ॥"
"चित्र-भानो इन्द्र (त्वं) आयाहि इमे(सोमाः) अण्वीभिः तना पूतासः त्वायवः सुताः","इन्द्र आयाहि चित्र-भानो सुताः इमे(सोमाः) त्वायवः अण्वीभिः तना पूतासः (त्वं)"," इन्द्रा या॑हि चित्रभानो सु॒ता इ॒मे त्वा॒यवः॑ ।# अण्वी॑भि॒स्तना॑ पू॒तासः॑ ॥"
"इन्द्र विप्र-जूतः धिया इषितः (त्वं) सुतावतः वाघतः ब्रह्माणि उप आ_याहि","इन्द्र आ_याहि धिया इषितः विप्र-जूतः सुतावतः उप ब्रह्माणि वाघतः (त्वं)"," इन्द्रा या॑हि धि॒येषि॒तो विप्र॑जूतः सु॒ताव॑तः ।# उप॒ ब्रह्मा॑णि वा॒घतः॑ ॥"
"हरिवः इन्द्र तूतुजानः (त्वं) ब्रह्माणि उप आ_याहि सुते नः चनः दधिष्व","इन्द्र आ_याहि तूतुजानः उप ब्रह्माणि हरिवः सुते दधिष्व नः चनः (त्वं)"," इन्द्रा या॑हि॒ तूतु॑जान॒ उप॒ ब्रह्मा॑णि हरिवः ।# सु॒ते द॑धिष्व न॒श्चनः॑ ॥"
"ओमासः चर्षणी-धृतः दाश्वांसः विश्वे देवासः दाशुषः सुतम् (यूयं) आगत","ओमासः चर्षणी-धृतः विश्वे देवासः आगत दाश्वांसः दाशुषः सुतम् (यूयं)"," ओमा॑सश्चर्षणीधृतो॒ विश्वे॑ देवास॒ आग॑त ।# दा॒श्वांसो॑ दा॒शुषः॑ सु॒तम् ॥"
"अप्तुरः तूर्णयः विश्वे देवासः उस्राः इव (यूयं) स्वसराणि सुतं आगन्त(आगच्छत)","विश्वे देवासः अप्तुरः सुतं आगन्त(आगच्छत) तूर्णयः उस्राः इव स्वसराणि (यूयं)"," विश्वे॑ दे॒वासो॑ अ॒प्तुरः॑ सु॒तमाग॑न्त॒ तूर्ण॑यः ।# उ॒स्रा इ॑व॒ स्वस॑राणि ॥"
"विश्वे एहि-मायासः अ-स्रिधः अ-द्रुहः वह्नयः देवासः मेधं जुषन्त","विश्वे देवासः अ-स्रिधः एहि-मायासः अ-द्रुहः मेधं जुषन्त वह्नयः"," विश्वे॑ दे॒वासो॑ अ॒स्रिध॒ एहि॑मायासो अ॒द्रुहः॑ ।# मेधं॑ जुषन्त॒ वह्न॑यः ॥"
"पावका वाजिनीवती धिया-वसुः सरस्वती वाजेभिः नः यज्ञं वष्टु","पावका नः सरस्वती वाजेभिः वाजिनीवती यज्ञं वष्टु धिया-वसुः"," पा॒व॒का नः॒ सर॑स्वती॒ वाजे॑भिर्वा॒जिनी॑वती ।# य॒ज्ञं व॑ष्टु धि॒याव॑सुः ॥"
"सून्-ऋतानां चोदयित्री सु-मतीनां चेतन्ती सरस्वती यज्ञं दधे","चोदयित्री सून्-ऋतानां चेतन्ती सु-मतीनां यज्ञं दधे सरस्वती"," चो॒द॒यि॒त्री सू॒नृता॑नां॒ चेत॑न्ती सुमती॒नाम् ।# य॒ज्ञं द॑धे॒ सर॑स्वती ॥"
