"padacchedah","anvaya","spart"
"सः च वाग्भिः प्रशस्ताभिः गमिष्यन् पूजितः तया तस्मात् देश-आद-प-आक्रम्य चिन्तयाम आस वानरः .","सः चिन्तयाम आस वानरः . च वाग्भिः प्रशस्ताभिः गमिष्यन् पूजितः तया तस्मात् देश-आद-प-आक्रम्य","स च वाग्भिः प्रशस्ताभिर्गमिष्यन् पूजितस्तया। तस्माद् देशादपाक्रम्य चिन्तयामास वानरः॥ १॥"
"इति उक्ताः सीतया घोरम् राक्षस्यः क्रोध-मूर्च्छिताः काश्चित् जग्मुः तत् आख्यातुम् रावणस्य दुरात्मनः .","इति आख्यातुम् रावणस्य दुरात्मनः . उक्ताः सीतया घोरम् राक्षस्यः क्रोध-मूर्च्छिताः काश्चित् जग्मुः तत्","इत्युक्ताः सीतया घोरं राक्षस्यः क्रोधमूर्च्छिताः। काश्चिज्जग्मुस्तदाख्यातुं रावणस्य दुरात्मनः॥"
"ततः रावण-नीतायाः सीतायाः शत्रु-कर्षणः इयेष पदम् अन्वेष्टुम् चारण-आचरिते पथि","ततः रावण-नीतायाः सीतायाः शत्रु-कर्षणः इयेष पदम् अन्वेष्टुम् चारण-आचरिते पथि","ततो रावणनीतायाः सीतायाः शत्रुकर्शनः।#इयेष पदमन्वेष्टुं चारणाचरिते पथि॥"
". दुष्करम् निष्-प्रति द्वन्द्वम् चिकीर्षन् कर्म वानरः सम्-उत्-अग्र-शिर ग्रीवः गवाम् पतिः इव आबभौ",". दुष्करम् आबभौ निष्-प्रति द्वन्द्वम् चिकीर्षन् कर्म वानरः सम्-उत्-अग्र-शिर ग्रीवः गवाम् पतिः इव","दुष्करं निष्प्रतिद्वन्द्वं चिकीर्षन् कर्म वानरः।#समुदग्रशिरोग्रीवो गवां पतिरिवाबभौ॥"
"अथ वैडूर्य-वर्णेषु शाद्वलेषु महा-बलः धीरः सलिलकल्पेषु विचचार यथा-सुखम् .","अथ वैडूर्य-वर्णेषु शाद्वलेषु महा-बलः धीरः सलिलकल्पेषु विचचार यथा-सुखम् .","अथ वैदूर्यवर्णेषु शाद्वलेषु महाबलः।#धीरः सलिलकल्पेषु विचचार यथासुखम्॥"
"द्विजान् वित्रासयन् धीमान् उरसा पादपान् हरन् मृगान् च सु-बहून् निघ्नन् प्रवृद्धः इव केसरी (विचचार)","द्विजान् निघ्नन् प्रवृद्धः इव केसरी (विचचार) वित्रासयन् धीमान् उरसा पादपान् हरन् मृगान् च सु-बहून्","द्विजान् वित्रासयन् धीमानुरसा पादपान् हरन्।#मृगांश्च सुबहून् निघ्नन् प्रवृद्ध इव केसरी॥"
"नील-लोहित-माञ्जिष्ठ-पद्म-वर्णैः सित-असितैः स्व-भाव-विहितैः चित्रैः धातुभिः समलङ्कृतम् तलम् च (अस्ति)","नील-लोहित-माञ्जिष्ठ-पद्म-वर्णैः सित-असितैः स्व-भाव-विहितैः चित्रैः धातुभिः समलङ्कृतम् तलम् च (अस्ति)","नीललोहितमाञ्जिष्ठपद्मवर्णैः सितासितैः।#स्वभावसिद्धैर्विमलैर्धातुभिः समलंकृतम्॥"
"काम-रूपिभिः आविष्टम् अभीक्ष्णम् स-परिच्छदैः यक्ष-किन्नर-गन्धर्वैः देवकल्पैः च स-पन्नगैः (आविष्टम्) तलम्","काम-रूपिभिः तलम् आविष्टम् अभीक्ष्णम् स-परिच्छदैः यक्ष-किन्नर-गन्धर्वैः देवकल्पैः च स-पन्नगैः (आविष्टम्)","कामरूपिभिराविष्टमभीक्ष्णं सपरिच्छदैः।#यक्षकिंनरगन्धर्वैर्देवकल्पैः सपन्नगैः॥"
"सः तस्य गिरि-वर्यस्य तले नाग-वर-आयुते तिष्ठन् कपि-वरः तत्र ह्रदे नागः इव आबभौ","सः नागः इव आबभौ तस्य गिरि-वर्यस्य तले नाग-वर-आयुते तिष्ठन् कपि-वरः तत्र ह्रदे","स तस्य गिरिवर्यस्य तले नागवरायुते।#तिष्ठन् कपिवरस्तत्र ह्रदे नाग इवाबभौ॥"
"सः सूर्याय महेन्द्राय पवनाय स्वयम्-भुवे भूतेभ्यः च अञ्जलिम् कृत्वा चकार गमने मतिम्","सः चकार गमने मतिम् सूर्याय महेन्द्राय पवनाय स्वयम्-भुवे भूतेभ्यः च अञ्जलिम् कृत्वा","स सूर्याय महेन्द्राय पवनाय स्वयम्भुवे।#भूतेभ्यश्चाञ्जलिं कृत्वा चकार गमने मतिम्॥"
"अञ्जलिम् प्राङ्मुखः कुर्वन् पवनाय आत्म-योनये ततः हि ववृधे गन्तुम् दक्षिणः दक्षिणाम् दिशम् .","अञ्जलिम् दक्षिणः दक्षिणाम् दिशम् . प्राङ्मुखः कुर्वन् पवनाय आत्म-योनये ततः हि ववृधे गन्तुम्","अञ्जलिं प्राङ्मुखं कुर्वन् पवनायात्मयोनये।#ततो हि ववृधे गन्तुं दक्षिणो दक्षिणां दिशम्॥"
"प्लवङ्ग-प्रवरैः दृष्टः प्लवने कृत-निश्चयः ववृधे राम-वृद्धि-अर्थम् समुद्रः इव पर्वसु","प्लवङ्ग-प्रवरैः दृष्टः प्लवने कृत-निश्चयः ववृधे राम-वृद्धि-अर्थम् समुद्रः इव पर्वसु","प्लवगप्रवरैर्दृष्टः प्लवने कृतनिश्चयः।#ववृधे रामवृद्ध्यर्थं समुद्र इव पर्वसु॥"
"निष्-प्रमाण-शरीरः सन् लिलङ्घयिषुः अर्णवम् बाहुभ्याम् पीडयामास चरणाभ्याम् च पर्वतम् (हनूमान्)","निष्-प्रमाण-शरीरः (हनूमान्) सन् लिलङ्घयिषुः अर्णवम् बाहुभ्याम् पीडयामास चरणाभ्याम् च पर्वतम्","निष्प्रमाणशरीरः सँल्लिलङ्घयिषुरर्णवम्।#बाहुभ्यां पीडयामास चरणाभ्यां च पर्वतम्॥"
"सः चचाल अचलः च अपि मुहूर्तम् कपि-पीडितः तरूणाम् पुष्पित-अग्राणाम् सर्वम् पुष्पम् अशातयत्","सः सर्वम् पुष्पम् अशातयत् चचाल अचलः च अपि मुहूर्तम् कपि-पीडितः तरूणाम् पुष्पित-अग्राणाम्","स चचालाचलश्चाशु मुहूर्तं कपिपीडितः।#तरूणां पुष्पिताग्राणां सर्वं पुष्पमशातयत्॥"
"तेन पादप-मुक्तेन पुष्प-ओघेण सुगन्धिना सर्वतः संवृतः शैलः बभौ पुष्पमयः यथा","तेन यथा पादप-मुक्तेन पुष्प-ओघेण सुगन्धिना सर्वतः संवृतः शैलः बभौ पुष्पमयः","तेन पादपमुक्तेन पुष्पौघेण सुगन्धिना।#सर्वतः संवृतः शैलो बभौ पुष्पमयो यथा॥"
"तेन च उत्तम-वीर्येण पीड्यमानः सः पर्वतः सलिलम् सम्प्रसुस्राव मदम् मत्तः इव द्विपः","तेन मत्तः इव द्विपः च उत्तम-वीर्येण पीड्यमानः सः पर्वतः सलिलम् सम्प्रसुस्राव मदम्","तेन चोत्तमवीर्येण पीड्यमानः स पर्वतः।#सलिलं सम्प्रसुस्राव मदमत्त इव द्विपः॥ "
"पीड्यमानः तु बलिना महा-इन्द्रः तेन पर्वतः रीतीः निर्वर्तयामास काञ्चन-अञ्जन-राजतीः .","पीड्यमानः . तु बलिना महा-इन्द्रः तेन पर्वतः रीतीः निर्वर्तयामास काञ्चन-अञ्जन-राजतीः","पीड्यमानस्तु बलिना महेन्द्रस्तेन पर्वतः।#रीतीर्निर्वर्तयामास काञ्चनाञ्जनराजतीः॥"
"मुमोच च शिलाः शैलः विशालाः स-मनःशिलाः मध्यमेन अर्चिषा जुष्टः धूम-राजीः इव अनलः","मुमोच जुष्टः धूम-राजीः इव अनलः च शिलाः शैलः विशालाः स-मनःशिलाः मध्यमेन अर्चिषा","मुमोच च शिलाः शैलो विशालाः समनःशिलाः।#मध्यमेनार्चिषा जुष्टो धूमराजीरिवानलः॥"
"गिरिणा पीड्यमानेन पीड्यमानानि सर्वतः गुहा-आविष्टानि भूतानि विनेदुः विकृतैः स्वरैः","गिरिणा पीड्यमानेन पीड्यमानानि सर्वतः गुहा-आविष्टानि भूतानि विनेदुः विकृतैः स्वरैः","हरिणा पीड्यमानेन पीड्यमानानि सर्वतः।#गुहाविष्टानि सत्त्वानि विनेदुर्विकृतैः स्वरैः॥"
"सः महान्-सत्त्व-सत्-नादः शैल-पीडा-निमित्त-जः पृथिवीम् पूरयामास दिशः च उपवनानि च","सः महान्-सत्त्व-सत्-नादः शैल-पीडा-निमित्त-जः पृथिवीम् पूरयामास दिशः च उपवनानि च","स महान् सत्त्वसन्नादः शैलपीडानिमित्तजः।#पृथिवीं पूरयामास दिशश्चोपवनानि च॥"
"शिरोभिः पृथुभिः सर्पाः व्यक्त-स्वस्तिक-लक्षणैः वमन्तः पावकम् घोरम् ददंशुः दशनैः शिलाः","शिरोभिः शिलाः पृथुभिः सर्पाः व्यक्त-स्वस्तिक-लक्षणैः वमन्तः पावकम् घोरम् ददंशुः दशनैः","शिरोभिः पृथुभिर्नागा व्यक्तस्वस्तिकलक्षणैः।#वमन्तः पावकं घोरं ददंशुर्दशनैः शिलाः॥"
